,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,214,2,16,2,2,22,0,0,0,2,23,10,3,14,0,1,0,2,0,1,3
Construction,5,236,25,3,2,30,0,0,3,1,24,11,13,19,0,1,6,2,3,0,2
Consumer Goods,13,8,328,0,0,37,0,2,0,0,27,12,6,38,2,11,2,7,2,1,10
Financial Services,10,2,10,313,0,35,6,2,0,0,4,18,1,3,1,4,1,1,0,1,0
Human Resources,0,0,4,1,108,30,0,0,0,0,3,34,7,2,1,3,0,0,0,0,0
Information Technology and Services,7,9,38,16,6,1261,0,3,4,6,9,69,26,4,24,8,1,1,1,10,2
Insurance,2,0,3,13,0,10,83,0,0,0,2,6,2,1,0,0,1,1,0,1,0
Legal Services,0,1,0,4,0,3,0,108,0,0,0,9,0,1,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,0,0,8,0,0,102,0,1,1,1,0,0,1,1,4,0,0,0
Logistics and Supply Chain,2,1,4,0,0,13,0,0,0,101,7,5,3,8,0,1,0,0,1,0,1
Machinery,11,13,38,0,0,30,0,0,0,2,268,14,3,104,1,7,2,2,4,0,6
Management Consulting,2,18,8,15,19,149,3,6,1,3,7,374,32,8,7,5,2,1,4,2,1
Marketing and Advertising,4,5,19,3,0,55,0,0,2,1,2,22,377,4,14,5,1,2,0,4,2
Mechanical or Industrial Engineering,15,16,45,3,1,31,0,0,0,3,98,15,5,334,0,3,0,3,1,0,4
Media Production,0,0,14,2,2,81,0,1,2,2,0,9,73,1,46,1,2,2,0,3,0
Medical Practice,3,0,25,3,1,27,3,0,0,1,5,13,5,12,0,255,0,3,0,0,0
Real Estate,0,17,7,11,0,15,1,0,3,1,1,4,4,1,0,1,170,0,0,0,0
Recreational Facilities and Services,0,2,14,2,0,12,0,0,2,0,6,4,6,6,0,7,0,89,0,2,4
Renewables & Environment,1,5,8,1,0,9,0,0,0,1,16,3,1,9,0,0,0,0,49,0,0
Telecommunications,0,4,18,1,1,47,0,0,0,1,2,6,8,3,0,0,1,0,1,42,2
Wholesale,3,4,52,1,0,10,0,0,0,1,22,6,7,16,0,5,0,9,1,1,94
