,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,175,2,26,3,0,34,0,0,0,2,18,10,6,37,0,0,0,0,0,0,4
Construction,2,220,21,0,1,50,1,0,6,1,27,14,6,17,0,3,10,0,5,0,2
Consumer Goods,8,13,258,3,0,77,2,1,1,0,23,6,3,79,2,1,0,4,4,2,19
Financial Services,9,3,2,291,0,58,10,3,0,0,5,15,1,2,0,6,4,0,1,1,1
Human Resources,1,0,3,2,86,42,1,1,0,1,3,42,6,3,0,2,0,0,0,0,0
Information Technology and Services,5,4,22,13,4,1287,1,2,1,6,7,44,31,32,18,11,4,1,1,9,2
Insurance,0,1,3,12,0,20,74,0,0,0,0,6,2,2,0,2,3,0,0,0,0
Legal Services,0,2,0,6,0,13,0,101,0,1,1,2,0,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,2,2,1,0,12,1,0,99,0,0,0,0,0,0,0,2,3,0,0,0
Logistics and Supply Chain,2,3,6,2,1,27,0,0,0,78,7,8,3,5,2,1,0,0,0,0,2
Machinery,4,16,25,4,0,54,0,0,1,1,227,7,6,128,0,4,2,0,5,1,20
Management Consulting,4,15,9,13,15,186,3,4,2,2,10,343,26,10,5,9,4,2,3,1,1
Marketing and Advertising,5,5,18,2,1,102,0,0,3,2,4,19,329,7,7,4,4,1,1,0,8
Mechanical or Industrial Engineering,5,13,51,1,1,66,0,0,0,2,79,6,2,330,0,4,0,2,3,0,12
Media Production,1,1,12,3,0,96,0,1,1,0,0,8,71,2,36,2,1,1,0,3,2
Medical Practice,1,2,30,0,0,46,2,0,1,0,9,16,2,17,0,225,1,1,0,0,3
Real Estate,0,13,1,16,0,31,1,0,3,2,0,7,4,3,2,0,152,0,0,0,1
Recreational Facilities and Services,1,0,26,1,0,24,0,0,1,0,9,2,8,8,2,4,0,53,0,1,16
Renewables & Environment,0,4,5,0,0,15,0,0,0,0,18,0,1,16,0,1,0,0,42,0,1
Telecommunications,0,3,16,0,0,61,1,0,0,0,3,4,3,5,1,0,0,0,1,37,2
Wholesale,3,4,50,2,0,21,0,0,0,1,20,2,7,22,1,5,0,8,0,0,86
