,precision,recall,f1-score,support
Automotive,0.7300380228136882,0.6056782334384858,0.6620689655172414,317.0
Construction,0.659217877094972,0.6113989637305699,0.6344086021505376,386.0
Consumer Goods,0.4831288343558282,0.6225296442687747,0.5440414507772021,506.0
Financial Services,0.7713567839195979,0.7451456310679612,0.7580246913580246,412.0
Human Resources,0.6993865030674846,0.5906735751295337,0.6404494382022472,193.0
Information Technology and Services,0.6172363986519018,0.8518272425249169,0.7158012283640425,1505.0
Insurance,0.8421052631578947,0.64,0.7272727272727272,125.0
Legal Services,0.8943089430894309,0.859375,0.8764940239043825,128.0
"Leisure, Travel & Tourism",0.875,0.8032786885245902,0.8376068376068376,122.0
Logistics and Supply Chain,0.7734375,0.673469387755102,0.72,147.0
Machinery,0.45774647887323944,0.5148514851485149,0.4846225535880708,505.0
Management Consulting,0.6444007858546169,0.4917541229385307,0.5578231292517006,667.0
Marketing and Advertising,0.6973684210526315,0.710727969348659,0.7039848197343453,522.0
Mechanical or Industrial Engineering,0.5406871609403255,0.5181975736568457,0.5292035398230088,577.0
Media Production,0.4788732394366197,0.2821576763485477,0.3550913838120105,241.0
Medical Practice,0.7165605095541401,0.6320224719101124,0.6716417910447762,356.0
Real Estate,0.865979381443299,0.711864406779661,0.7813953488372094,236.0
Recreational Facilities and Services,0.6616541353383458,0.5641025641025641,0.6089965397923874,156.0
Renewables & Environment,0.6935483870967742,0.4174757281553398,0.5212121212121212,103.0
Telecommunications,0.6451612903225806,0.291970802919708,0.40201005025125625,137.0
Wholesale,0.6148148148148148,0.3577586206896552,0.452316076294278,232.0
accuracy,0.6346230027730094,0.6346230027730094,0.6346230027730094,0.6346230027730094
macro avg,0.6839052728989612,0.5950599899256225,0.6278316818473527,7573.0
weighted avg,0.643044714339363,0.6346230027730094,0.6287850830206105,7573.0
