,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,192,7,24,2,2,24,0,0,0,1,23,10,3,22,1,3,0,1,0,1,1
Construction,4,236,18,4,1,29,0,0,1,1,38,9,7,16,0,7,6,1,2,1,5
Consumer Goods,9,14,315,3,1,57,0,2,0,1,31,5,5,30,0,7,2,11,4,1,8
Financial Services,6,2,9,307,2,40,8,3,1,0,4,13,3,1,2,3,2,1,1,3,1
Human Resources,0,0,1,3,114,30,1,0,0,0,1,31,4,2,1,3,0,0,0,1,1
Information Technology and Services,7,7,38,16,7,1282,0,1,3,8,6,39,27,15,30,11,0,0,1,6,1
Insurance,1,1,5,13,2,11,80,0,0,1,4,2,2,1,0,1,1,0,0,0,0
Legal Services,0,1,1,5,0,4,0,110,0,0,0,6,0,1,0,0,0,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,2,0,6,0,0,98,1,1,1,2,1,0,0,3,5,0,0,0
Logistics and Supply Chain,5,2,4,0,0,12,0,0,0,99,8,1,2,6,2,1,0,1,1,1,2
Machinery,12,19,39,1,0,37,0,0,1,2,260,8,1,92,0,10,2,2,5,0,14
Management Consulting,3,10,11,13,26,196,2,5,0,4,8,328,27,2,6,14,4,2,3,2,1
Marketing and Advertising,1,7,17,4,0,53,0,1,4,1,4,15,371,5,27,4,1,1,0,2,4
Mechanical or Industrial Engineering,13,18,41,4,2,55,0,0,0,3,107,10,3,299,1,8,0,4,0,0,9
Media Production,0,1,13,1,2,86,0,1,2,1,0,8,47,1,68,2,1,2,0,4,1
Medical Practice,2,4,21,2,1,40,3,0,0,2,12,12,4,18,1,225,1,7,1,0,0
Real Estate,1,20,7,10,2,14,1,0,0,1,0,7,1,2,0,1,168,0,1,0,0
Recreational Facilities and Services,0,1,18,0,1,11,0,0,2,0,11,0,8,9,0,5,0,88,0,0,2
Renewables & Environment,3,2,10,4,0,8,0,0,0,1,17,0,1,12,0,1,0,1,43,0,0
Telecommunications,0,2,14,2,0,55,0,0,0,0,5,2,7,2,1,2,2,1,0,40,2
Wholesale,4,3,45,2,0,27,0,0,0,1,28,2,7,16,2,6,1,5,0,0,83
