,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,164,2,25,2,1,49,0,0,0,1,18,6,2,35,1,2,0,1,2,0,6
Construction,1,204,21,0,1,73,1,0,3,1,27,8,3,22,0,2,9,1,3,0,6
Consumer Goods,7,13,233,1,1,101,2,1,1,1,22,2,1,82,1,3,0,7,3,2,22
Financial Services,6,2,4,282,0,74,10,4,2,1,1,10,2,2,1,3,6,0,0,1,1
Human Resources,1,3,2,1,109,37,1,1,0,0,2,28,3,3,0,2,0,0,0,0,0
Information Technology and Services,5,9,21,9,9,1314,3,2,2,3,8,41,30,16,8,9,3,2,2,7,2
Insurance,2,1,3,12,0,23,72,0,0,0,0,3,2,1,0,3,3,0,0,0,0
Legal Services,0,1,3,4,0,17,0,100,0,0,0,1,0,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,2,0,0,14,0,0,98,0,0,1,0,2,0,0,1,4,0,0,0
Logistics and Supply Chain,4,2,8,1,0,30,0,0,0,83,4,3,1,7,0,0,0,1,0,0,3
Machinery,3,13,30,3,0,72,0,0,0,1,208,6,0,143,1,1,1,0,3,0,20
Management Consulting,2,12,6,15,23,216,2,5,0,3,6,324,26,11,0,7,2,0,2,1,4
Marketing and Advertising,1,6,16,3,1,106,1,0,3,1,2,12,339,6,12,4,1,1,0,2,5
Mechanical or Industrial Engineering,6,11,47,2,1,88,0,0,0,3,65,8,0,331,1,1,0,1,0,0,12
Media Production,0,0,8,3,2,102,0,1,2,1,1,8,80,3,23,2,1,2,0,0,2
Medical Practice,0,3,28,1,0,79,3,0,1,2,9,13,2,25,0,182,1,1,0,0,6
Real Estate,0,14,2,8,0,32,1,2,2,1,1,3,0,1,0,1,166,0,0,1,1
Recreational Facilities and Services,0,1,16,0,2,41,0,0,2,0,10,0,4,8,0,3,0,51,1,1,16
Renewables & Environment,1,5,6,0,0,21,0,0,0,0,16,0,0,15,0,0,0,0,38,0,1
Telecommunications,0,2,12,3,0,79,0,0,0,0,2,0,3,7,1,0,0,0,1,26,1
Wholesale,2,4,52,0,1,34,0,0,1,1,11,1,4,26,0,2,0,5,1,0,87
