,precision,recall,f1-score,support
Automotive,0.7389705882352942,0.6340694006309149,0.6825127334465195,317.0
Construction,0.7138810198300283,0.6528497409326425,0.6820027063599459,386.0
Consumer Goods,0.4940828402366864,0.6600790513833992,0.5651438240270729,506.0
Financial Services,0.7975,0.7742718446601942,0.7857142857142857,412.0
Human Resources,0.7516778523489933,0.5803108808290155,0.6549707602339181,193.0
Information Technology and Services,0.6461461461461462,0.8578073089700997,0.7370825007136741,1505.0
Insurance,0.8469387755102041,0.664,0.7443946188340808,125.0
Legal Services,0.8984375,0.8984375,0.8984375,128.0
"Leisure, Travel & Tourism",0.8620689655172413,0.819672131147541,0.8403361344537814,122.0
Logistics and Supply Chain,0.8062015503875969,0.7074829931972789,0.7536231884057971,147.0
Machinery,0.47442680776014107,0.5326732673267327,0.5018656716417911,505.0
Management Consulting,0.6519337016574586,0.5307346326836582,0.5851239669421489,667.0
Marketing and Advertising,0.7197696737044146,0.7183908045977011,0.7190795781399808,522.0
Mechanical or Industrial Engineering,0.5681415929203539,0.5563258232235702,0.5621716287215411,577.0
Media Production,0.46308724832214765,0.2863070539419087,0.3538461538461538,241.0
Medical Practice,0.7745098039215687,0.6657303370786517,0.7160120845921449,356.0
Real Estate,0.8969072164948454,0.7372881355932204,0.8093023255813954,236.0
Recreational Facilities and Services,0.6762589928057554,0.6025641025641025,0.6372881355932204,156.0
Renewables & Environment,0.7384615384615385,0.46601941747572817,0.5714285714285714,103.0
Telecommunications,0.639344262295082,0.2846715328467153,0.3939393939393939,137.0
Wholesale,0.6388888888888888,0.39655172413793105,0.48936170212765956,232.0
accuracy,0.6579955103657732,0.6579955103657732,0.6579955103657732,0.6579955103657732
macro avg,0.7046492840687804,0.6202970325343335,0.6516017840353846,7573.0
weighted avg,0.6661554951433294,0.6579955103657732,0.6532099305658026,7573.0
