,precision,recall,f1-score,support
Automotive,0.7831858407079646,0.5583596214511041,0.6519337016574585,317.0
Construction,0.6863354037267081,0.572538860103627,0.6242937853107345,386.0
Consumer Goods,0.44596912521440824,0.5138339920948617,0.4775022956841139,506.0
Financial Services,0.7684210526315789,0.7087378640776699,0.7373737373737375,412.0
Human Resources,0.7833333333333333,0.48704663212435234,0.6006389776357827,193.0
Information Technology and Services,0.5597897503285151,0.8491694352159468,0.6747624076029567,1505.0
Insurance,0.7676767676767676,0.608,0.6785714285714285,125.0
Legal Services,0.8918918918918919,0.7734375,0.8284518828451882,128.0
"Leisure, Travel & Tourism",0.8672566371681416,0.8032786885245902,0.8340425531914893,122.0
Logistics and Supply Chain,0.7909090909090909,0.5918367346938775,0.6770428015564202,147.0
Machinery,0.4968017057569296,0.4613861386138614,0.4784394250513347,505.0
Management Consulting,0.6030927835051546,0.5262368815592204,0.5620496397117695,667.0
Marketing and Advertising,0.6725490196078432,0.657088122605364,0.6647286821705427,522.0
Mechanical or Industrial Engineering,0.462707182320442,0.5805892547660312,0.5149884704073789,577.0
Media Production,0.547945205479452,0.16597510373443983,0.25477707006369427,241.0
Medical Practice,0.7814814814814814,0.5926966292134831,0.6741214057507987,356.0
Real Estate,0.8214285714285714,0.6822033898305084,0.7453703703703702,236.0
Recreational Facilities and Services,0.725,0.3717948717948718,0.49152542372881347,156.0
Renewables & Environment,0.6984126984126984,0.42718446601941745,0.5301204819277108,103.0
Telecommunications,0.6176470588235294,0.30656934306569344,0.4097560975609756,137.0
Wholesale,0.4973821989528796,0.40948275862068967,0.4491725768321514,232.0
accuracy,0.606760860953387,0.606760860953387,0.606760860953387,0.606760860953387
macro avg,0.6794865142551133,0.554640299433791,0.5980792007145167,7573.0
weighted avg,0.6261282702443108,0.606760860953387,0.6003160787689665,7573.0
