,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,201,6,24,1,2,22,0,0,0,2,24,8,2,17,2,1,0,2,0,2,1
Construction,3,252,16,1,1,20,0,0,1,1,37,11,8,18,0,5,4,0,3,1,4
Consumer Goods,8,14,334,2,0,46,0,1,1,0,24,8,4,28,1,7,2,13,4,1,8
Financial Services,7,1,7,319,2,35,8,3,1,0,3,12,1,3,1,1,2,1,1,3,1
Human Resources,0,0,1,2,112,28,1,0,0,0,1,36,3,2,1,3,0,0,0,1,2
Information Technology and Services,7,6,35,17,5,1291,0,2,4,8,7,38,23,14,34,7,0,0,0,6,1
Insurance,0,1,4,16,2,9,83,0,0,1,4,2,0,1,0,1,1,0,0,0,0
Legal Services,0,0,1,6,0,1,0,115,0,0,0,4,0,1,0,0,0,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,7,0,0,100,0,1,1,2,2,0,0,1,5,0,0,0
Logistics and Supply Chain,4,1,4,0,0,11,0,0,0,104,7,2,2,4,2,0,0,2,1,1,2
Machinery,11,14,36,1,0,35,0,0,1,2,269,11,2,97,0,6,2,1,5,0,12
Management Consulting,5,9,10,15,23,178,2,5,0,2,8,354,23,4,6,13,4,1,2,1,2
Marketing and Advertising,2,7,21,3,0,48,0,0,4,1,7,11,375,2,28,6,0,1,0,2,4
Mechanical or Industrial Engineering,16,14,53,2,1,47,0,0,0,2,93,10,0,321,2,5,0,2,0,0,9
Media Production,0,0,14,1,1,84,0,2,1,1,1,8,51,1,69,1,1,2,0,2,1
Medical Practice,1,2,21,1,0,32,3,0,0,2,15,14,2,17,0,237,1,7,1,0,0
Real Estate,0,15,8,8,0,12,1,0,1,1,4,7,1,2,0,2,174,0,0,0,0
Recreational Facilities and Services,0,2,15,0,0,10,0,0,2,0,11,1,7,6,0,5,0,94,0,1,2
Renewables & Environment,3,2,10,3,0,7,0,0,0,0,19,0,0,10,0,0,0,1,48,0,0
Telecommunications,0,3,15,1,0,56,0,0,0,0,5,2,7,2,1,1,1,1,0,39,3
Wholesale,4,3,46,0,0,19,0,0,0,2,27,3,8,13,2,5,1,6,0,1,92
