,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,177,2,26,2,0,36,1,0,0,1,14,10,6,35,0,0,0,1,0,0,6
Construction,0,221,23,0,1,51,1,0,3,2,27,16,3,19,1,1,11,0,3,0,3
Consumer Goods,10,11,260,1,0,69,2,1,1,0,27,9,3,77,3,3,1,2,4,4,18
Financial Services,6,2,5,292,0,60,10,3,1,0,4,13,2,2,0,4,4,0,1,2,1
Human Resources,0,1,1,3,94,41,1,1,0,1,2,36,6,4,0,2,0,0,0,0,0
Information Technology and Services,6,7,20,15,5,1278,2,2,1,6,7,53,25,32,15,13,4,1,1,10,2
Insurance,0,1,2,13,0,19,76,0,0,0,0,4,2,2,0,2,3,0,0,1,0
Legal Services,0,2,2,7,0,10,0,99,0,0,1,5,0,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,13,0,0,98,0,1,0,0,1,0,0,2,4,0,0,0
Logistics and Supply Chain,3,3,4,2,2,19,0,0,0,87,4,7,2,7,2,1,0,0,0,0,4
Machinery,6,14,24,4,0,55,0,0,1,1,233,10,6,125,0,3,2,0,4,2,15
Management Consulting,5,13,12,15,17,183,2,4,1,4,6,351,25,8,2,9,4,2,2,1,1
Marketing and Advertising,1,11,22,5,0,87,0,0,2,1,3,17,343,8,8,5,2,2,0,1,4
Mechanical or Industrial Engineering,8,11,44,1,0,60,0,0,0,2,79,10,3,335,0,5,0,2,3,0,14
Media Production,0,0,12,3,0,98,0,1,1,0,1,8,66,2,40,2,1,1,0,3,2
Medical Practice,0,4,31,1,0,55,3,0,0,2,12,14,0,15,0,211,0,1,0,0,7
Real Estate,0,12,2,14,0,28,1,0,3,2,2,8,2,0,0,0,161,0,0,0,1
Recreational Facilities and Services,0,0,26,0,1,25,0,0,1,0,8,3,4,8,1,4,0,58,0,1,16
Renewables & Environment,0,2,7,1,0,14,0,0,0,0,19,1,1,13,0,0,0,0,44,0,1
Telecommunications,1,1,13,0,0,63,0,0,0,0,1,5,3,5,1,0,0,0,1,42,1
Wholesale,3,3,46,0,0,19,0,0,0,1,18,2,8,26,0,4,0,6,0,1,95
