,precision,recall,f1-score,support
Automotive,0.7121212121212122,0.5930599369085173,0.6471600688468159,317.0
Construction,0.6620879120879121,0.6243523316062176,0.6426666666666667,386.0
Consumer Goods,0.4891640866873065,0.6245059288537549,0.5486111111111112,506.0
Financial Services,0.7758186397984886,0.7475728155339806,0.7614338689740421,412.0
Human Resources,0.7239263803680982,0.6113989637305699,0.6629213483146067,193.0
Information Technology and Services,0.6245766811804547,0.8578073089700997,0.7228443449048152,1505.0
Insurance,0.8367346938775511,0.656,0.73542600896861,125.0
Legal Services,0.8943089430894309,0.859375,0.8764940239043825,128.0
"Leisure, Travel & Tourism",0.8738738738738738,0.7950819672131147,0.832618025751073,122.0
Logistics and Supply Chain,0.7557251908396947,0.673469387755102,0.712230215827338,147.0
Machinery,0.45753899480069327,0.5227722772277228,0.4879852125693161,505.0
Management Consulting,0.6538461538461539,0.5097451274362819,0.5728727885425442,667.0
Marketing and Advertising,0.6791044776119403,0.6973180076628352,0.6880907372400756,522.0
Mechanical or Industrial Engineering,0.55,0.5147313691507799,0.5317815577439571,577.0
Media Production,0.45985401459854014,0.26141078838174275,0.33333333333333337,241.0
Medical Practice,0.7371794871794872,0.6460674157303371,0.688622754491018,356.0
Real Estate,0.8469387755102041,0.7033898305084746,0.7685185185185185,236.0
Recreational Facilities and Services,0.672,0.5384615384615384,0.5978647686832741,156.0
Renewables & Environment,0.6825396825396826,0.4174757281553398,0.5180722891566265,103.0
Telecommunications,0.6721311475409836,0.29927007299270075,0.4141414141414141,137.0
Wholesale,0.6338028169014085,0.3879310344827586,0.48128342245989303,232.0
accuracy,0.6380562524759013,0.6380562524759013,0.6380562524759013,0.6380562524759013
macro avg,0.6853939602120531,0.5971998490838984,0.62976059429283,7573.0
weighted avg,0.6458929285338015,0.6380562524759013,0.6321385481928057,7573.0
