,precision,recall,f1-score,support
Automotive,0.7663551401869159,0.5173501577287066,0.6177024482109228,317.0
Construction,0.6378205128205128,0.5155440414507773,0.5702005730659027,386.0
Consumer Goods,0.44528301886792454,0.466403162055336,0.4555984555984556,506.0
Financial Services,0.7965116279069767,0.6650485436893204,0.7248677248677249,412.0
Human Resources,0.7777777777777778,0.5077720207253886,0.6144200626959249,193.0
Information Technology and Services,0.5051983057373893,0.8717607973421927,0.6396879570941004,1505.0
Insurance,0.7263157894736842,0.552,0.6272727272727273,125.0
Legal Services,0.8839285714285714,0.7734375,0.825,128.0
"Leisure, Travel & Tourism",0.8278688524590164,0.8278688524590164,0.8278688524590164,122.0
Logistics and Supply Chain,0.7956989247311828,0.5034013605442177,0.6166666666666667,147.0
Machinery,0.4671361502347418,0.3940594059405941,0.4274973147153598,505.0
Management Consulting,0.65,0.487256371814093,0.5569837189374465,667.0
Marketing and Advertising,0.6829268292682927,0.6436781609195402,0.6627218934911242,522.0
Mechanical or Industrial Engineering,0.42198100407055633,0.5389948006932409,0.4733637747336378,577.0
Media Production,0.4642857142857143,0.1078838174273859,0.1750841750841751,241.0
Medical Practice,0.7450199203187251,0.5252808988764045,0.6161449752883031,356.0
Real Estate,0.8586956521739131,0.6694915254237288,0.7523809523809524,236.0
Recreational Facilities and Services,0.6190476190476191,0.3333333333333333,0.43333333333333335,156.0
Renewables & Environment,0.5833333333333334,0.33980582524271846,0.42944785276073627,103.0
Telecommunications,0.6136363636363636,0.19708029197080293,0.2983425414364641,137.0
Wholesale,0.4329896907216495,0.3620689655172414,0.3943661971830986,232.0
accuracy,0.5765218539548396,0.5765218539548396,0.5765218539548396,0.5765218539548396
macro avg,0.6524671808800411,0.5142628491978115,0.5589977236798129,7573.0
weighted avg,0.6028413052154081,0.5765218539548396,0.5667278205076344,7573.0
