,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,188,6,26,1,2,22,0,0,0,2,24,9,4,22,2,3,0,3,1,1,1
Construction,4,241,18,2,1,29,0,0,1,1,37,11,6,15,0,4,7,0,3,1,5
Consumer Goods,11,14,316,4,1,52,0,2,1,2,32,7,4,30,0,6,3,10,3,0,8
Financial Services,6,1,8,308,2,42,9,2,1,0,3,14,4,2,1,1,2,1,1,3,1
Human Resources,0,0,1,3,118,25,1,0,0,0,1,30,7,2,1,2,0,0,0,1,1
Information Technology and Services,8,6,33,15,7,1291,0,2,2,11,5,35,27,14,31,9,1,1,0,6,1
Insurance,1,1,4,17,2,9,82,0,0,1,3,2,1,0,0,1,1,0,0,0,0
Legal Services,0,1,1,4,0,5,0,110,0,0,0,6,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,2,1,2,0,7,0,0,97,0,1,2,2,0,0,0,3,5,0,0,0
Logistics and Supply Chain,5,2,4,0,0,13,0,0,0,99,8,1,2,5,3,1,0,0,1,1,2
Machinery,9,20,42,2,0,35,0,0,1,2,264,9,2,90,0,10,2,2,6,0,9
Management Consulting,3,11,9,13,23,189,2,5,0,4,7,340,27,3,7,14,4,1,3,2,0
Marketing and Advertising,3,8,19,3,0,57,0,1,4,2,4,15,364,4,25,6,0,1,0,2,4
Mechanical or Industrial Engineering,15,18,40,1,2,52,0,0,0,3,110,9,5,297,1,7,0,3,0,0,14
Media Production,0,0,13,1,2,85,0,1,2,1,0,9,53,1,63,4,2,0,0,3,1
Medical Practice,3,3,21,2,1,37,3,0,0,2,14,10,4,17,1,230,1,6,1,0,0
Real Estate,0,21,6,10,2,18,1,0,0,1,0,6,2,1,0,1,166,0,1,0,0
Recreational Facilities and Services,1,2,18,0,0,15,0,0,2,0,14,0,7,6,0,4,0,84,0,0,3
Renewables & Environment,2,2,12,4,0,6,0,0,0,0,18,0,1,13,0,1,0,1,43,0,0
Telecommunications,0,2,15,2,0,53,0,0,0,0,4,3,7,2,1,2,2,1,0,41,2
Wholesale,5,3,39,3,0,25,0,0,0,0,28,2,7,16,1,6,1,6,0,0,90
