,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,164,1,18,2,1,54,0,0,1,1,17,7,1,38,1,1,0,1,2,0,7
Construction,1,199,21,0,1,73,1,0,3,1,29,10,2,24,1,3,9,1,3,0,4
Consumer Goods,7,15,236,1,1,86,2,1,1,1,20,2,1,84,3,6,0,7,6,1,25
Financial Services,7,1,7,274,0,78,12,3,2,1,0,11,1,4,0,3,4,1,0,1,2
Human Resources,1,4,0,1,98,45,1,1,0,0,2,31,3,2,0,3,0,1,0,0,0
Information Technology and Services,6,9,19,8,7,1312,5,1,4,4,5,44,27,19,7,13,2,2,2,6,3
Insurance,2,3,3,9,0,26,69,0,0,0,0,4,2,1,0,4,2,0,0,0,0
Legal Services,0,3,1,4,0,12,0,99,0,0,1,3,0,0,0,4,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,2,0,0,13,0,1,101,0,0,0,0,0,0,0,1,4,0,0,0
Logistics and Supply Chain,6,2,10,1,0,34,0,0,0,74,5,5,1,7,0,0,0,0,0,0,2
Machinery,2,15,28,4,0,73,0,0,0,0,199,9,1,139,1,2,3,0,4,1,24
Management Consulting,3,13,5,15,15,216,2,5,0,2,6,325,26,16,1,7,1,1,2,2,4
Marketing and Advertising,2,6,18,4,1,106,0,0,2,2,3,12,336,6,11,4,1,2,0,2,4
Mechanical or Industrial Engineering,10,9,41,2,0,89,0,0,0,2,86,7,0,311,0,1,0,2,2,1,14
Media Production,0,1,8,5,1,103,0,1,3,1,1,7,75,3,26,2,1,2,0,0,1
Medical Practice,0,1,27,2,0,71,2,0,0,1,10,16,1,29,0,187,1,1,0,0,7
Real Estate,0,15,5,9,0,34,1,0,3,1,1,4,1,1,1,1,158,0,0,1,0
Recreational Facilities and Services,0,1,18,0,1,42,0,0,1,0,9,0,3,8,1,5,0,52,1,1,13
Renewables & Environment,1,5,6,0,0,20,0,0,0,0,20,1,1,13,0,1,0,0,35,0,0
Telecommunications,0,4,9,3,0,75,0,0,0,0,2,1,4,9,2,0,0,0,1,27,0
Wholesale,2,5,48,0,0,35,0,0,1,2,10,1,6,23,1,4,0,7,2,1,84
