,precision,recall,f1-score,support
Automotive,0.7230215827338129,0.6340694006309149,0.6756302521008403,317.0
Construction,0.6949152542372882,0.6373056994818653,0.664864864864865,386.0
Consumer Goods,0.4962292609351433,0.650197628458498,0.5628742514970061,506.0
Financial Services,0.7920792079207921,0.7766990291262136,0.7843137254901961,412.0
Human Resources,0.7368421052631579,0.5803108808290155,0.6492753623188405,193.0
Information Technology and Services,0.6464393179538616,0.8564784053156146,0.7367819376964847,1505.0
Insurance,0.8333333333333334,0.68,0.748898678414097,125.0
Legal Services,0.8968253968253969,0.8828125,0.8897637795275591,128.0
"Leisure, Travel & Tourism",0.8771929824561403,0.819672131147541,0.8474576271186439,122.0
Logistics and Supply Chain,0.8062015503875969,0.7074829931972789,0.7536231884057971,147.0
Machinery,0.4752650176678445,0.5326732673267327,0.5023342670401494,505.0
Management Consulting,0.6476868327402135,0.545727136431784,0.5923515052888527,667.0
Marketing and Advertising,0.7026022304832714,0.7241379310344828,0.7132075471698114,522.0
Mechanical or Industrial Engineering,0.569620253164557,0.5459272097053726,0.5575221238938053,577.0
Media Production,0.4748201438848921,0.27385892116182575,0.3473684210526316,241.0
Medical Practice,0.7901639344262295,0.6769662921348315,0.729198184568835,356.0
Real Estate,0.8894736842105263,0.7161016949152542,0.7934272300469484,236.0
Recreational Facilities and Services,0.6884057971014492,0.6089743589743589,0.6462585034013605,156.0
Renewables & Environment,0.7142857142857143,0.4368932038834951,0.5421686746987951,103.0
Telecommunications,0.65,0.2846715328467153,0.3959390862944162,137.0
Wholesale,0.6433566433566433,0.39655172413793105,0.4906666666666667,232.0
accuracy,0.6565429816453189,0.6565429816453189,0.6565429816453189,0.6565429816453189
macro avg,0.7023219163508506,0.6175005686066536,0.648758375121743,7573.0
weighted avg,0.6637815184674413,0.6565429816453189,0.6513488456142321,7573.0
