,precision,recall,f1-score,support
Automotive,0.7847533632286996,0.5520504731861199,0.6481481481481483,317.0
Construction,0.6750788643533123,0.5544041450777202,0.6088193456614509,386.0
Consumer Goods,0.43986254295532645,0.5059288537549407,0.47058823529411764,506.0
Financial Services,0.7742782152230971,0.7160194174757282,0.7440100882723835,412.0
Human Resources,0.782258064516129,0.5025906735751295,0.6119873817034701,193.0
Information Technology and Services,0.5605928509154315,0.8544850498338871,0.6770202684917083,1505.0
Insurance,0.7872340425531915,0.592,0.6757990867579908,125.0
Legal Services,0.8918918918918919,0.7734375,0.8284518828451882,128.0
"Leisure, Travel & Tourism",0.8672566371681416,0.8032786885245902,0.8340425531914893,122.0
Logistics and Supply Chain,0.82,0.5578231292517006,0.6639676113360322,147.0
Machinery,0.48043478260869565,0.4376237623762376,0.4580310880829016,505.0
Management Consulting,0.5560747663551402,0.5352323838080959,0.5454545454545454,667.0
Marketing and Advertising,0.653179190751445,0.6494252873563219,0.6512968299711817,522.0
Mechanical or Industrial Engineering,0.4592696629213483,0.5667244367417678,0.5073700543056633,577.0
Media Production,0.47368421052631576,0.11203319502074689,0.18120805369127516,241.0
Medical Practice,0.7765567765567766,0.5955056179775281,0.6740858505564388,356.0
Real Estate,0.8469945355191257,0.6567796610169492,0.7398568019093079,236.0
Recreational Facilities and Services,0.675,0.34615384615384615,0.45762711864406785,156.0
Renewables & Environment,0.7272727272727273,0.3883495145631068,0.5063291139240507,103.0
Telecommunications,0.5909090909090909,0.2846715328467153,0.3842364532019704,137.0
Wholesale,0.44919786096256686,0.3620689655172414,0.40095465393794755,232.0
accuracy,0.5983097847616532,0.5983097847616532,0.5983097847616532,0.5983097847616532
macro avg,0.6700847655804026,0.5403136254313512,0.584251674541968,7573.0
weighted avg,0.6153255022607964,0.5983097847616532,0.5899020361390988,7573.0
