,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,201,3,23,2,2,22,0,0,0,1,21,10,4,19,2,2,0,2,0,2,1
Construction,4,246,17,0,2,24,0,0,1,1,40,11,6,17,0,3,7,0,3,1,3
Consumer Goods,11,14,329,4,1,45,0,2,0,1,28,9,3,27,0,6,2,12,4,1,7
Financial Services,7,2,6,320,2,35,10,2,1,0,2,13,2,1,0,1,1,2,1,3,1
Human Resources,0,0,1,2,112,27,1,0,0,0,1,35,5,2,1,3,0,0,0,1,2
Information Technology and Services,6,7,32,17,6,1289,0,2,4,8,6,41,27,13,34,6,0,0,0,6,1
Insurance,1,1,4,14,2,9,85,0,0,1,1,3,1,1,0,1,1,0,0,0,0
Legal Services,0,0,1,6,0,3,0,113,0,0,0,4,0,1,0,0,0,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,9,0,0,100,0,1,1,1,1,0,0,1,5,0,0,0
Logistics and Supply Chain,4,1,5,0,0,11,0,0,0,104,8,2,1,4,2,0,0,1,1,1,2
Machinery,10,15,40,1,0,37,0,0,1,2,269,10,2,93,0,6,2,1,6,0,10
Management Consulting,6,10,9,16,21,172,2,5,0,2,6,364,22,4,5,13,4,1,2,1,2
Marketing and Advertising,4,7,19,3,0,48,0,0,3,2,3,16,378,3,24,5,0,1,0,2,4
Mechanical or Industrial Engineering,13,16,52,3,1,46,0,0,0,2,98,9,3,315,1,5,0,2,0,0,11
Media Production,0,0,12,1,1,84,0,2,1,1,1,10,55,1,66,1,1,1,0,2,1
Medical Practice,4,2,18,0,1,32,3,0,0,2,15,10,3,16,1,241,1,6,1,0,0
Real Estate,0,19,8,9,1,12,1,0,1,1,3,6,3,1,0,2,169,0,0,0,0
Recreational Facilities and Services,0,1,14,0,0,10,0,0,2,0,11,2,7,6,0,5,0,95,0,0,3
Renewables & Environment,2,2,12,3,0,6,0,0,0,0,21,0,0,11,0,0,0,1,45,0,0
Telecommunications,0,3,16,1,0,54,0,0,0,0,4,3,8,3,2,0,0,1,0,39,3
Wholesale,5,4,44,1,0,19,0,0,0,1,27,3,7,14,1,5,1,7,0,1,92
