,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,175,2,25,1,1,36,1,0,0,1,16,11,6,36,0,1,0,1,0,0,4
Construction,0,214,25,1,1,52,0,0,3,1,33,21,3,19,0,3,6,0,3,0,1
Consumer Goods,11,12,256,2,0,70,2,1,1,0,23,15,3,73,0,2,0,7,3,5,20
Financial Services,8,2,3,295,0,54,9,3,2,0,2,19,1,2,0,5,4,0,1,1,1
Human Resources,0,0,0,3,97,37,1,1,0,0,2,37,6,5,1,2,0,1,0,0,0
Information Technology and Services,4,7,19,13,4,1286,2,2,1,7,8,56,26,25,15,13,3,1,0,11,2
Insurance,0,1,2,14,0,19,74,0,0,0,0,6,1,2,0,1,4,0,0,1,0
Legal Services,0,2,1,6,0,11,0,99,0,0,0,7,1,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,13,0,0,98,0,1,1,0,0,1,0,1,3,0,0,1
Logistics and Supply Chain,3,1,5,3,2,25,0,0,0,82,7,7,3,4,1,1,0,0,0,0,3
Machinery,5,15,28,2,0,50,0,0,1,0,221,10,6,137,0,5,1,0,2,1,21
Management Consulting,3,16,8,15,18,184,1,4,0,2,6,357,24,9,2,8,4,2,2,1,1
Marketing and Advertising,2,9,20,5,0,88,0,0,2,1,3,21,339,5,8,4,3,0,0,2,10
Mechanical or Industrial Engineering,7,10,57,1,0,61,0,0,0,2,77,13,2,327,0,5,0,1,2,0,12
Media Production,1,0,10,2,0,98,0,1,1,0,1,10,77,3,27,2,1,1,0,3,3
Medical Practice,0,3,22,0,0,60,2,0,0,1,9,24,1,15,1,212,0,1,0,0,5
Real Estate,1,13,1,14,0,30,2,0,3,2,0,12,2,0,0,0,155,0,0,0,1
Recreational Facilities and Services,0,1,26,1,1,25,0,0,1,0,7,6,5,8,0,5,0,54,0,1,15
Renewables & Environment,0,4,5,0,0,16,0,0,0,0,21,2,1,12,0,1,0,0,40,0,1
Telecommunications,0,1,14,0,0,63,0,0,0,0,4,3,4,4,1,0,0,0,2,39,2
Wholesale,3,3,54,2,0,16,0,0,0,1,19,4,8,26,0,3,0,8,0,1,84
