,precision,recall,f1-score,support
Automotive,0.436241610738255,0.20504731861198738,0.2789699570815451,317.0
Construction,0.2546816479400749,0.17616580310880828,0.20826952526799386,386.0
Consumer Goods,0.291005291005291,0.21739130434782608,0.24886877828054296,506.0
Financial Services,0.6160337552742616,0.35436893203883496,0.44992295839753466,412.0
Human Resources,0.4461538461538462,0.15025906735751296,0.22480620155038758,193.0
Information Technology and Services,0.2652184292193841,0.7382059800664452,0.39023533544081485,1505.0
Insurance,0.2727272727272727,0.168,0.2079207920792079,125.0
Legal Services,0.6451612903225806,0.15625,0.25157232704402516,128.0
"Leisure, Travel & Tourism",0.6129032258064516,0.3114754098360656,0.41304347826086957,122.0
Logistics and Supply Chain,0.5306122448979592,0.17687074829931973,0.2653061224489796,147.0
Machinery,0.23943661971830985,0.100990099009901,0.14206128133704737,505.0
Management Consulting,0.25517241379310346,0.22188905547226387,0.23736968724939858,667.0
Marketing and Advertising,0.29024390243902437,0.22796934865900384,0.2553648068669528,522.0
Mechanical or Industrial Engineering,0.32661290322580644,0.14038128249566725,0.1963636363636364,577.0
Media Production,0.14285714285714285,0.03734439834024896,0.05921052631578946,241.0
Medical Practice,0.46153846153846156,0.16853932584269662,0.2469135802469136,356.0
Real Estate,0.48672566371681414,0.2330508474576271,0.3151862464183381,236.0
Recreational Facilities and Services,0.325,0.08333333333333333,0.1326530612244898,156.0
Renewables & Environment,0.4,0.0970873786407767,0.15625,103.0
Telecommunications,0.17857142857142858,0.0364963503649635,0.06060606060606061,137.0
Wholesale,0.228310502283105,0.21551724137931033,0.22172949002217293,232.0
accuracy,0.2951274263832035,0.2951274263832035,0.2951274263832035,0.2951274263832035
macro avg,0.36691465010612256,0.20079205831726635,0.23631542154774762,7573.0
weighted avg,0.3309615429847651,0.2951274263832035,0.265172509271874,7573.0
