,precision,recall,f1-score,support
Automotive,0.5841584158415841,0.1861198738170347,0.2822966507177033,317.0
Construction,0.43243243243243246,0.12435233160621761,0.19315895372233402,386.0
Consumer Goods,0.33191489361702126,0.1541501976284585,0.21052631578947367,506.0
Financial Services,0.7972972972972973,0.28640776699029125,0.42142857142857143,412.0
Human Resources,0.5,0.10880829015544041,0.17872340425531916,193.0
Information Technology and Services,0.23445061839039255,0.8691029900332226,0.3692828910220215,1505.0
Insurance,0.5,0.128,0.20382165605095542,125.0
Legal Services,0.6388888888888888,0.1796875,0.28048780487804875,128.0
"Leisure, Travel & Tourism",0.5818181818181818,0.26229508196721313,0.3615819209039548,122.0
Logistics and Supply Chain,0.5945945945945946,0.14965986394557823,0.23913043478260868,147.0
Machinery,0.32919254658385094,0.10495049504950495,0.15915915915915918,505.0
Management Consulting,0.4423076923076923,0.13793103448275862,0.21028571428571424,667.0
Marketing and Advertising,0.4174757281553398,0.16475095785440613,0.23626373626373626,522.0
Mechanical or Industrial Engineering,0.3516949152542373,0.1438474870017331,0.20418204182041821,577.0
Media Production,0.3142857142857143,0.04564315352697095,0.07971014492753623,241.0
Medical Practice,0.574468085106383,0.15168539325842698,0.24,356.0
Real Estate,0.6413043478260869,0.25,0.3597560975609756,236.0
Recreational Facilities and Services,0.19148936170212766,0.057692307692307696,0.08866995073891626,156.0
Renewables & Environment,0.3684210526315789,0.06796116504854369,0.11475409836065571,103.0
Telecommunications,0.3157894736842105,0.043795620437956206,0.07692307692307693,137.0
Wholesale,0.3375,0.11637931034482758,0.17307692307692307,232.0
accuracy,0.29209032087679915,0.29209032087679915,0.29209032087679915,0.29209032087679915
macro avg,0.4514040114484579,0.17777242004004248,0.223010454603243,7573.0
weighted avg,0.40982988151350946,0.29209032087679915,0.25125943421240376,7573.0
