,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,65,9,16,2,1,156,0,0,0,5,8,17,18,6,0,2,4,1,1,0,6
Construction,4,68,17,4,2,210,1,0,1,2,7,16,20,8,2,5,10,2,0,1,6
Consumer Goods,6,19,110,9,3,222,0,0,1,2,22,27,18,12,1,7,5,2,4,1,35
Financial Services,6,6,4,146,1,183,2,0,1,0,10,17,11,5,2,4,6,1,0,1,6
Human Resources,1,2,3,2,29,99,2,1,0,0,5,34,6,3,0,3,0,0,0,0,3
Information Technology and Services,11,21,40,21,9,1111,14,4,6,4,18,108,54,25,16,12,6,2,0,1,22
Insurance,2,1,6,4,1,62,21,1,0,1,2,7,5,1,3,3,1,0,0,0,4
Legal Services,0,5,4,5,0,68,1,20,2,0,2,12,5,1,0,2,0,0,0,0,1
"Leisure, Travel & Tourism",0,4,4,1,0,52,0,0,38,0,2,7,4,3,0,2,2,0,0,0,3
Logistics and Supply Chain,3,3,3,0,1,73,1,0,0,26,3,9,6,8,0,2,2,0,1,0,6
Machinery,5,30,22,5,1,256,5,0,0,1,51,28,19,42,5,7,3,3,2,3,17
Management Consulting,9,15,16,7,8,382,7,1,4,3,10,148,22,6,6,5,6,0,1,4,7
Marketing and Advertising,8,14,11,4,3,282,10,0,2,0,7,33,119,11,10,0,2,1,0,0,5
Mechanical or Industrial Engineering,6,21,31,2,1,313,3,1,0,1,30,33,15,81,1,7,4,4,0,4,19
Media Production,3,6,14,2,1,143,0,2,0,0,4,22,30,1,9,1,0,0,1,1,1
Medical Practice,7,10,17,5,3,171,3,0,1,0,7,18,19,13,2,60,4,3,1,2,10
Real Estate,3,14,6,8,1,97,3,0,3,2,3,16,12,3,2,2,55,1,1,0,4
Recreational Facilities and Services,3,3,14,1,0,82,0,0,1,0,4,10,10,3,0,1,1,13,0,1,9
Renewables & Environment,1,6,4,5,0,45,0,0,1,0,11,3,2,8,1,2,0,1,10,1,2
Telecommunications,1,1,8,3,0,90,2,1,0,0,2,5,6,2,3,1,1,1,2,5,3
Wholesale,5,9,28,1,0,92,2,0,1,2,5,10,9,6,0,2,1,5,1,3,50
