,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,59,1,12,3,1,219,0,0,0,1,3,2,6,4,2,1,0,1,0,1,1
Construction,2,48,8,0,0,277,0,0,4,3,12,8,3,7,0,1,8,2,1,1,1
Consumer Goods,6,7,78,1,0,333,0,0,5,1,16,1,8,21,0,1,1,5,3,0,19
Financial Services,4,3,3,118,1,265,2,0,0,0,2,5,3,1,0,1,4,0,0,0,0
Human Resources,0,1,3,1,21,138,1,0,0,1,2,12,3,5,0,3,0,1,0,0,1
Information Technology and Services,2,5,25,11,5,1308,4,6,2,2,14,35,38,23,4,9,3,2,0,3,4
Insurance,1,0,1,4,1,85,16,0,0,0,1,8,3,0,1,1,2,0,0,1,0
Legal Services,1,1,1,0,0,97,0,23,0,0,1,3,0,1,0,0,0,0,0,0,0
"Leisure, Travel & Tourism",1,0,4,0,0,78,0,0,32,0,0,1,2,0,0,0,1,3,0,0,0
Logistics and Supply Chain,4,1,2,0,0,106,0,0,0,22,2,1,0,5,0,1,0,1,0,0,2
Machinery,4,7,4,0,0,366,0,0,1,0,53,5,3,40,0,2,3,5,4,3,5
Management Consulting,4,6,9,4,10,495,2,4,2,3,4,92,9,7,0,6,5,1,1,2,1
Marketing and Advertising,6,8,12,2,1,367,2,1,2,0,2,9,86,5,13,1,0,0,2,2,1
Mechanical or Industrial Engineering,2,7,22,0,1,412,0,0,0,3,24,4,2,83,1,3,2,3,0,0,8
Media Production,0,1,5,1,0,182,0,1,1,0,3,5,25,2,11,2,1,1,0,0,0
Medical Practice,2,3,9,1,0,257,2,1,2,0,2,6,1,8,1,54,0,3,0,0,4
Real Estate,0,5,3,2,1,154,0,0,3,0,2,4,0,1,0,2,59,0,0,0,0
Recreational Facilities and Services,0,1,7,0,0,121,0,0,0,0,2,2,3,4,0,3,0,9,0,0,4
Renewables & Environment,1,4,2,0,0,61,0,0,1,1,9,1,1,10,1,1,3,0,7,0,0
Telecommunications,0,0,1,0,0,118,1,0,0,0,0,2,4,2,0,1,0,0,0,6,2
Wholesale,2,2,24,0,0,140,2,0,0,0,7,2,6,7,1,1,0,10,1,0,27
