feature,value
banking,0.006408400367945433
it,0.0058752791956067085
kraftstoffverbrauch,0.00554403942078352
immobilien,0.005030407104641199
vehicle,0.004309815354645252
hotel,0.0040371655486524105
software,0.004003275651484728
infrastruktur,0.003805272514000535
systemhaus,0.0036763623356819153
zutaten,0.003554463619366288
wohnungen,0.0032316483557224274
cloud,0.0030300747603178024
patients,0.0029467896092683077
patienten,0.002790563739836216
werbeagentur,0.002708969172090292
methoden,0.002609129762277007
bank,0.002386133186519146
steuerberatung,0.0023598866537213326
maschinen,0.0022942160721868277
electronics,0.002131421584635973
handling,0.002112960210070014
inkl,0.002091669710353017
rezepte,0.002088406588882208
immobilie,0.0020353221334517
autohaus,0.0020241986494511366
bmw,0.002020804211497307
fahrzeug,0.0019644128624349833
zielgruppe,0.00195900141261518
direktwerbung,0.001953632803633809
vehicles,0.0018737254431471229
science,0.0018365681171417236
bauvorhaben,0.001814035465940833
gebrauchtwagen,0.0017948331078514457
bausparvertrag,0.001787887536920607
gas,0.001778046484105289
rechenzentrum,0.001767980633303523
estate,0.0017636071424931288
machines,0.0017437866190448403
marketing,0.0016717280959710479
packaging,0.0016372122336179018
payment,0.0016047742683440447
savings,0.0016017031157389283
softwareentwicklung,0.0015947200590744615
enterprise,0.001567175961099565
schaden,0.0015455828979611397
sensor,0.001539501710794866
zustimmen,0.0015392330242320895
leuchten,0.0015224098460748792
filialen,0.0015205995878204703
finance,0.0015043864259496331
suchfunktion,0.0014977289829403162
healthcare,0.001495740027166903
zeitarbeit,0.0014850568259134889
kandidaten,0.0014804302481934428
cars,0.0014781801728531718
patient,0.0014749695546925068
beruf,0.001467982423491776
firm,0.0014606373151764274
werbemittel,0.0014396138722077012
cable,0.0014373093144968152
recruitment,0.0014366518007591367
investors,0.0014336995081976056
credit,0.0014311297563835979
methode,0.001427659299224615
werbeartikel,0.0014115258818492293
berater,0.0014090922195464373
contractors,0.0014068891759961843
deployment,0.0013903540093451738
dokumentenmanagement,0.0013791919918730855
wohnung,0.001378401997499168
internetagentur,0.0013782575260847807
kampagnen,0.0013736443361267447
sortiment,0.0013725958997383714
arbeitsschutz,0.0013698909897357225
projektentwicklung,0.0013696482637897134
arzneimittel,0.0013605362037196755
maschinenbau,0.0013585768174380064
transformation,0.0013551332522183657
motorrad,0.0013204511487856507
fotografie,0.0012998023303225636
intelligence,0.0012731713941320777
geschmack,0.0012682086089625955
bewerber,0.0012617498869076371
consulting,0.0012450877111405134
agentur,0.0012357424711808562
dokumenten,0.0012336894869804382
litigation,0.0012316637439653277
ware,0.0012279589427635074
inhalte,0.0012233084999024868
versicherung,0.0012174731818959117
transporte,0.0012108020018786192
hotels,0.0012090359814465046
kanzlei,0.00120080029591918
lawyers,0.001197734847664833
bauherren,0.0011957905953750014
ergebnis,0.0011940745171159506
versicherungsmakler,0.001190300565212965
smartphone,0.0011901023099198937
nutzer,0.001189047354273498
kliniken,0.0011824528919532895
architekten,0.0011791734723374248
acquisitions,0.0011770081473514438
zision,0.0011757255997508764
architects,0.0011682980693876743
kampagne,0.0011662874603644013
connectivity,0.001159211155027151
intelligenz,0.001158568193204701
nutzerverhaltens,0.001157864578999579
bau,0.001152878045104444
werkzeugmaschinen,0.0011494196951389313
vermo,0.0011468420270830393
steuerberater,0.0011431319871917367
anleger,0.0011164112947881222
lighting,0.0011135146487504244
insurance,0.0011117896065115929
anwender,0.001109766075387597
geld,0.0011074865469709039
finanzierungen,0.001099978107959032
construction,0.0010986989364027977
logistics,0.0010940252104774117
raiffeisen,0.0010939734056591988
apotheke,0.0010886900126934052
metallverarbeitung,0.0010797641007229686
loans,0.001077807042747736
freight,0.0010741987498477101
einheiten,0.0010695848613977432
spirituosen,0.0010636678198352456
finanzierung,0.0010611689649522305
lebensqualita,0.0010582557879388332
workshops,0.0010541552910581231
damen,0.0010374269913882017
genuss,0.0010354944970458746
digitalisierung,0.0010319174034520984
banque,0.0010315004037693143
drive,0.0010276215616613626
dinner,0.0010247989557683468
bio,0.0010161451064050198
warenkorb,0.0010147223947569728
ressourcen,0.0010101570514962077
organisatie,0.001005535013973713
webdesign,0.001001768745481968
organisation,0.0009983897907659411
pumps,0.0009929032530635595
steuer,0.000992678920738399
getra,0.0009871359216049314
gb,0.0009827021276578307
glasfaser,0.0009806171292439103
guests,0.0009757395600900054
wartung,0.0009716712520457804
cleanliness,0.0009704252588562667
sendung,0.0009697841014713049
konstruktion,0.000969447661191225
