,precision,recall,f1-score,support
Automotive,0.7152542372881356,0.6656151419558359,0.6895424836601308,317.0
Construction,0.7523219814241486,0.6295336787564767,0.6854724964739068,386.0
Consumer Goods,0.5113636363636364,0.6225296442687747,0.5614973262032085,506.0
Financial Services,0.8120104438642297,0.7548543689320388,0.7823899371069182,412.0
Human Resources,0.7899159663865546,0.48704663212435234,0.6025641025641025,193.0
Information Technology and Services,0.6141119221411192,0.8385382059800665,0.7089887640449438,1505.0
Insurance,0.7850467289719626,0.672,0.7241379310344829,125.0
Legal Services,0.9083333333333333,0.8515625,0.8790322580645161,128.0
"Leisure, Travel & Tourism",0.8508771929824561,0.7950819672131147,0.8220338983050847,122.0
Logistics and Supply Chain,0.8727272727272727,0.6530612244897959,0.7470817120622567,147.0
Machinery,0.49429657794676807,0.5148514851485149,0.504364694471387,505.0
Management Consulting,0.5616835994194485,0.5802098950524738,0.5707964601769911,667.0
Marketing and Advertising,0.6223316912972086,0.7260536398467433,0.6702033598585323,522.0
Mechanical or Industrial Engineering,0.5583941605839416,0.5303292894280762,0.544,577.0
Media Production,0.47126436781609193,0.17012448132780084,0.25,241.0
Medical Practice,0.7770700636942676,0.6853932584269663,0.7283582089552241,356.0
Real Estate,0.8802083333333334,0.7161016949152542,0.7897196261682242,236.0
Recreational Facilities and Services,0.7142857142857143,0.5448717948717948,0.6181818181818182,156.0
Renewables & Environment,0.7580645161290323,0.4563106796116505,0.5696969696969697,103.0
Telecommunications,0.7272727272727273,0.291970802919708,0.4166666666666667,137.0
Wholesale,0.7153846153846154,0.40086206896551724,0.5138121546961325,232.0
accuracy,0.6434702231612307,0.6434702231612307,0.6434702231612307,0.6434702231612307
macro avg,0.7091532896498093,0.5993763073445217,0.6370733746853094,7573.0
weighted avg,0.6546925629012242,0.6434702231612307,0.63681327794276,7573.0
