,precision,recall,f1-score,support
Automotive,0.7929515418502202,0.5678233438485805,0.6617647058823529,317.0
Construction,0.6886792452830188,0.5673575129533679,0.6221590909090909,386.0
Consumer Goods,0.4601018675721562,0.5355731225296443,0.49497716894977173,506.0
Financial Services,0.7587131367292225,0.6868932038834952,0.7210191082802547,412.0
Human Resources,0.7698412698412699,0.5025906735751295,0.6081504702194358,193.0
Information Technology and Services,0.564226216571679,0.8551495016611296,0.6798732171156893,1505.0
Insurance,0.7788461538461539,0.648,0.7074235807860262,125.0
Legal Services,0.8818181818181818,0.7578125,0.8151260504201681,128.0
"Leisure, Travel & Tourism",0.7903225806451613,0.8032786885245902,0.7967479674796747,122.0
Logistics and Supply Chain,0.7788461538461539,0.5510204081632653,0.6454183266932271,147.0
Machinery,0.5088105726872246,0.45742574257425744,0.4817518248175182,505.0
Management Consulting,0.548440065681445,0.5007496251874063,0.5235109717868339,667.0
Marketing and Advertising,0.6217712177121771,0.6455938697318008,0.6334586466165414,522.0
Mechanical or Industrial Engineering,0.4781997187060478,0.5892547660311959,0.5279503105590062,577.0
Media Production,0.41818181818181815,0.0954356846473029,0.15540540540540543,241.0
Medical Practice,0.8315018315018315,0.6376404494382022,0.7217806041335453,356.0
Real Estate,0.8115183246073299,0.6567796610169492,0.7259953161592506,236.0
Recreational Facilities and Services,0.7407407407407407,0.38461538461538464,0.5063291139240507,156.0
Renewables & Environment,0.7735849056603774,0.39805825242718446,0.5256410256410255,103.0
Telecommunications,0.6557377049180327,0.291970802919708,0.404040404040404,137.0
Wholesale,0.5240641711229946,0.4224137931034483,0.4677804295942721,232.0
accuracy,0.6047801399709494,0.6047801399709494,0.6047801399709494,0.6047801399709494
macro avg,0.6750903533106304,0.5502589041348592,0.5917287494958832,7573.0
weighted avg,0.6205847705030301,0.6047801399709494,0.5959837434090909,7573.0
