,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,211,3,14,4,1,26,1,0,0,1,18,13,4,15,0,1,1,1,0,0,3
Construction,5,243,17,1,1,37,1,0,3,2,25,15,9,13,1,3,7,0,3,0,0
Consumer Goods,14,5,315,1,0,58,0,1,1,0,27,10,12,28,1,8,1,9,3,1,11
Financial Services,6,1,4,311,0,49,10,1,0,0,2,20,2,1,0,3,0,1,1,0,0
Human Resources,1,0,3,0,94,35,0,0,0,0,4,45,6,2,1,2,0,0,0,0,0
Information Technology and Services,10,3,28,15,5,1262,0,3,3,4,7,75,37,6,25,12,2,1,0,5,2
Insurance,1,0,1,16,0,10,84,0,0,0,0,8,1,1,0,1,1,0,0,0,1
Legal Services,0,1,0,6,0,5,0,109,0,0,0,6,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,2,3,1,0,8,0,0,97,0,0,1,4,0,0,1,1,4,0,0,0
Logistics and Supply Chain,2,0,4,0,0,18,0,0,0,96,5,5,0,10,3,1,1,0,1,0,1
Machinery,10,15,31,0,0,39,0,0,0,1,260,17,3,108,0,8,2,1,3,1,6
Management Consulting,3,8,9,11,14,158,3,5,2,1,8,387,34,7,2,9,2,1,1,1,1
Marketing and Advertising,4,4,12,1,1,64,4,0,1,0,6,19,379,5,11,5,0,2,0,2,2
Mechanical or Industrial Engineering,16,16,56,1,2,45,1,0,0,0,99,17,7,306,0,6,0,2,1,0,2
Media Production,0,0,15,2,1,88,0,1,2,1,1,9,74,1,41,2,1,1,0,1,0
Medical Practice,3,2,17,1,0,36,2,0,0,1,7,18,4,12,1,244,1,4,0,1,2
Real Estate,2,10,6,10,0,22,1,0,3,1,4,4,3,0,0,0,169,0,1,0,0
Recreational Facilities and Services,2,1,15,1,0,13,0,0,2,1,7,4,10,6,0,4,0,85,0,1,4
Renewables & Environment,1,2,7,0,0,12,0,0,0,0,18,5,1,9,0,0,1,0,47,0,0
Telecommunications,0,3,16,0,0,56,0,0,0,0,2,5,8,3,0,0,1,0,1,40,2
Wholesale,4,4,43,1,0,14,0,0,0,1,26,6,11,15,1,4,0,7,0,2,93
