,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,180,3,18,2,0,35,1,0,0,1,13,14,6,36,0,0,0,1,0,1,6
Construction,1,219,24,0,1,46,1,0,7,2,26,16,6,18,0,1,12,0,3,0,3
Consumer Goods,7,10,271,2,0,71,1,1,2,1,25,13,2,67,1,3,1,6,1,2,19
Financial Services,8,3,5,283,0,61,12,3,0,1,2,20,1,1,2,2,6,0,1,0,1
Human Resources,0,2,3,1,97,41,0,1,2,1,2,30,8,3,0,2,0,0,0,0,0
Information Technology and Services,4,2,22,15,3,1287,0,3,3,3,9,54,29,27,16,11,3,2,0,8,4
Insurance,0,1,1,12,0,21,81,0,0,0,0,4,0,1,0,1,3,0,0,0,0
Legal Services,0,2,0,7,0,8,0,97,0,1,1,8,1,0,0,1,2,0,0,0,0
"Leisure, Travel & Tourism",0,1,0,1,0,13,1,0,98,0,0,1,0,1,0,0,2,4,0,0,0
Logistics and Supply Chain,4,2,6,2,2,22,0,0,0,81,6,7,3,6,2,0,0,0,0,0,4
Machinery,4,17,28,3,0,49,0,0,1,5,231,12,2,137,0,1,2,0,1,1,11
Management Consulting,1,13,14,17,20,196,2,4,3,3,5,334,37,5,2,4,2,1,2,1,1
Marketing and Advertising,4,7,18,3,1,91,0,0,2,1,5,27,337,2,6,7,2,1,0,1,7
Mechanical or Industrial Engineering,7,8,52,2,2,62,1,0,0,0,72,8,1,340,0,5,0,1,3,0,13
Media Production,1,1,14,4,0,94,0,1,1,0,0,11,81,2,23,2,0,1,0,4,1
Medical Practice,0,4,19,1,0,44,3,0,0,1,8,20,0,21,1,227,1,1,0,0,5
Real Estate,0,12,3,13,0,31,1,0,3,2,0,10,5,0,0,0,155,0,0,0,1
Recreational Facilities and Services,0,0,27,1,0,20,0,0,1,0,7,9,8,7,0,3,0,60,0,1,12
Renewables & Environment,1,5,4,1,0,14,0,0,0,0,18,3,2,14,0,0,0,0,41,0,0
Telecommunications,0,1,15,2,0,58,0,0,0,0,5,5,3,4,2,0,0,0,1,40,1
Wholesale,5,5,45,1,0,17,0,0,1,1,19,3,10,19,0,3,0,3,0,2,98
