,precision,recall,f1-score,support
Automotive,0.7235772357723578,0.5615141955835962,0.6323268206039075,317.0
Construction,0.6825938566552902,0.5181347150259067,0.5891016200294551,386.0
Consumer Goods,0.44976076555023925,0.5573122529644269,0.4977934686672551,506.0
Financial Services,0.8263305322128851,0.7160194174757282,0.7672301690507153,412.0
Human Resources,0.7969924812030075,0.5492227979274611,0.6503067484662577,193.0
Information Technology and Services,0.545255793616091,0.8285714285714286,0.6577004219409283,1505.0
Insurance,0.8,0.512,0.624390243902439,125.0
Legal Services,0.8981481481481481,0.7578125,0.8220338983050847,128.0
"Leisure, Travel & Tourism",0.8818181818181818,0.7950819672131147,0.8362068965517241,122.0
Logistics and Supply Chain,0.7818181818181819,0.5850340136054422,0.669260700389105,147.0
Machinery,0.4220665499124343,0.4772277227722772,0.4479553903345725,505.0
Management Consulting,0.48936170212765956,0.5517241379310345,0.5186751233262862,667.0
Marketing and Advertising,0.6365248226950354,0.6877394636015326,0.6611418047882136,522.0
Mechanical or Industrial Engineering,0.5107632093933464,0.45233968804159447,0.4797794117647059,577.0
Media Production,0.47058823529411764,0.16597510373443983,0.245398773006135,241.0
Medical Practice,0.7804878048780488,0.5393258426966292,0.6378737541528239,356.0
Real Estate,0.8839779005524862,0.6779661016949152,0.7673860911270982,236.0
Recreational Facilities and Services,0.646551724137931,0.4807692307692308,0.551470588235294,156.0
Renewables & Environment,0.7254901960784313,0.3592233009708738,0.4805194805194805,103.0
Telecommunications,0.6666666666666666,0.291970802919708,0.40609137055837563,137.0
Wholesale,0.6352941176470588,0.23275862068965517,0.34069400630914826,232.0
accuracy,0.5914432853558695,0.5914432853558695,0.5914432853558695,0.5914432853558695
macro avg,0.6787651479132188,0.5379868240089997,0.5849207991442383,7573.0
weighted avg,0.6144858628072044,0.5914432853558695,0.5845091006697967,7573.0
