,precision,recall,f1-score,support
Automotive,0.7419354838709677,0.5078864353312302,0.6029962546816479,317.0
Construction,0.6109215017064846,0.4637305699481865,0.5272459499263623,386.0
Consumer Goods,0.4378947368421053,0.41106719367588934,0.4240570846075434,506.0
Financial Services,0.7921686746987951,0.6383495145631068,0.706989247311828,412.0
Human Resources,0.728,0.47150259067357514,0.5723270440251572,193.0
Information Technology and Services,0.4266929651545036,0.8624584717607974,0.5709258851990323,1505.0
Insurance,0.7049180327868853,0.344,0.46236559139784944,125.0
Legal Services,0.8958333333333334,0.671875,0.7678571428571428,128.0
"Leisure, Travel & Tourism",0.7796610169491526,0.7540983606557377,0.7666666666666666,122.0
Logistics and Supply Chain,0.7948717948717948,0.4217687074829932,0.5511111111111112,147.0
Machinery,0.4636118598382749,0.3405940594059406,0.3926940639269407,505.0
Management Consulting,0.6067653276955602,0.4302848575712144,0.5035087719298246,667.0
Marketing and Advertising,0.6058394160583942,0.6360153256704981,0.6205607476635515,522.0
Mechanical or Industrial Engineering,0.4267716535433071,0.4696707105719237,0.44719471947194717,577.0
Media Production,0.5333333333333333,0.0995850622406639,0.16783216783216784,241.0
Medical Practice,0.772093023255814,0.46629213483146065,0.5814360770577933,356.0
Real Estate,0.8055555555555556,0.614406779661017,0.6971153846153846,236.0
Recreational Facilities and Services,0.6419753086419753,0.3333333333333333,0.43881856540084385,156.0
Renewables & Environment,0.7192982456140351,0.39805825242718446,0.5125,103.0
Telecommunications,0.5348837209302325,0.1678832116788321,0.25555555555555554,137.0
Wholesale,0.5454545454545454,0.20689655172413793,0.3,232.0
accuracy,0.5340023768651789,0.5340023768651789,0.5340023768651789,0.5340023768651789
macro avg,0.6461180728635737,0.46236938681941536,0.5176075252970643,7573.0
weighted avg,0.5790680634690818,0.5340023768651789,0.5222206670074007,7573.0
