,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,178,3,23,4,2,37,0,0,0,0,21,24,6,13,1,1,1,1,0,0,2
Construction,0,200,29,0,0,59,0,2,2,1,33,19,8,20,2,2,4,1,1,0,3
Consumer Goods,9,7,282,4,0,71,1,1,0,0,34,20,10,38,5,4,1,7,2,1,9
Financial Services,6,1,5,295,0,45,7,3,1,0,4,25,5,3,3,1,2,2,1,3,0
Human Resources,0,4,3,1,106,34,1,0,0,0,2,31,8,0,2,1,0,0,0,0,0
Information Technology and Services,7,5,38,13,6,1247,1,1,2,4,15,90,36,9,17,4,2,0,0,7,1
Insurance,1,0,4,7,0,27,64,0,0,1,3,10,3,0,0,4,0,0,0,1,0
Legal Services,1,0,0,5,0,10,0,97,0,0,0,12,0,0,0,2,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,3,1,0,10,0,0,97,0,0,2,1,0,0,1,3,4,0,0,0
Logistics and Supply Chain,3,2,8,0,0,19,0,0,0,86,5,10,2,7,0,1,0,0,1,0,3
Machinery,13,14,38,0,2,64,0,0,0,2,241,21,1,92,0,4,2,3,5,0,3
Management Consulting,0,7,14,10,10,191,3,4,0,1,5,368,35,6,1,5,2,1,1,2,1
Marketing and Advertising,4,6,12,2,1,72,0,0,2,3,5,31,359,2,13,5,1,1,0,3,0
Mechanical or Industrial Engineering,10,21,56,1,0,77,0,0,0,6,107,18,5,261,0,7,0,3,2,0,3
Media Production,2,0,11,2,2,97,0,0,1,1,5,12,60,2,40,1,1,2,0,2,0
Medical Practice,3,2,19,2,3,62,1,0,0,3,19,28,5,10,0,192,0,7,0,0,0
Real Estate,2,10,3,9,0,26,1,0,2,1,8,8,3,3,0,0,160,0,0,0,0
Recreational Facilities and Services,0,0,18,0,0,29,0,0,2,0,6,5,1,12,0,5,0,75,0,0,3
Renewables & Environment,1,5,8,0,0,9,1,0,0,0,20,4,0,15,0,1,0,0,37,1,1
Telecommunications,0,0,10,1,0,65,0,0,0,0,2,6,5,3,1,1,0,0,1,40,2
Wholesale,6,6,43,0,1,36,0,0,1,1,36,8,11,15,0,4,1,9,0,0,54
