,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,161,2,19,2,1,83,1,0,1,0,13,6,2,22,1,0,0,0,1,0,2
Construction,0,179,25,1,0,106,1,0,4,0,16,11,7,22,0,2,9,1,0,1,1
Consumer Goods,12,17,208,0,1,132,1,0,1,1,19,4,3,72,4,5,2,10,4,1,9
Financial Services,7,0,4,263,1,93,8,2,1,1,0,13,5,4,1,3,4,1,0,1,0
Human Resources,1,3,1,2,91,52,0,0,2,0,1,27,8,5,0,0,0,0,0,0,0
Information Technology and Services,7,8,17,9,9,1298,1,4,6,1,6,51,40,20,5,10,2,2,0,7,2
Insurance,1,2,2,14,0,44,43,0,0,0,2,4,4,0,0,7,2,0,0,0,0
Legal Services,0,0,1,6,0,24,1,86,0,0,0,8,0,0,0,0,2,0,0,0,0
"Leisure, Travel & Tourism",0,0,3,0,0,19,0,0,92,0,0,0,1,1,1,1,3,1,0,0,0
Logistics and Supply Chain,3,1,5,0,0,54,1,0,0,62,4,7,0,8,0,0,0,1,0,0,1
Machinery,5,16,29,1,1,120,1,0,0,2,172,9,4,122,1,3,2,1,7,0,9
Management Consulting,3,9,6,16,19,245,1,4,0,3,7,287,38,15,2,5,4,0,1,1,1
Marketing and Advertising,3,7,14,1,0,129,0,0,2,2,2,10,332,5,3,3,2,1,1,4,1
Mechanical or Industrial Engineering,7,18,37,2,0,136,0,0,1,1,81,7,2,271,0,4,0,1,0,1,8
Media Production,1,0,8,3,2,112,0,0,2,1,0,7,75,0,24,2,0,2,0,2,0
Medical Practice,1,4,17,1,0,111,0,0,0,1,7,11,8,22,0,166,3,2,1,1,0
Real Estate,0,14,3,9,0,51,2,0,3,1,1,4,0,2,1,0,145,0,0,0,0
Recreational Facilities and Services,0,3,16,0,0,59,0,0,2,0,3,2,6,4,0,3,0,52,0,0,6
Renewables & Environment,0,4,4,2,0,27,0,0,0,0,11,1,1,12,0,0,0,0,41,0,0
Telecommunications,0,2,11,0,0,82,0,0,0,0,4,3,4,6,1,0,0,0,1,23,0
Wholesale,5,4,45,0,0,65,0,0,1,2,22,1,8,22,1,1,0,6,0,1,48
