,precision,recall,f1-score,support
Automotive,0.7938931297709924,0.6561514195583596,0.7184801381692574,317.0
Construction,0.7523219814241486,0.6295336787564767,0.6854724964739068,386.0
Consumer Goods,0.518796992481203,0.6818181818181818,0.5892399658411615,506.0
Financial Services,0.8086734693877551,0.7694174757281553,0.7885572139303483,412.0
Human Resources,0.7913669064748201,0.5699481865284974,0.6626506024096386,193.0
Information Technology and Services,0.6318383440118285,0.8518272425249169,0.7255234861346916,1505.0
Insurance,0.8260869565217391,0.608,0.7004608294930876,125.0
Legal Services,0.9224137931034483,0.8359375,0.8770491803278688,128.0
"Leisure, Travel & Tourism",0.8559322033898306,0.8278688524590164,0.8416666666666667,122.0
Logistics and Supply Chain,0.8166666666666667,0.6666666666666666,0.7340823970037452,147.0
Machinery,0.5066921606118547,0.5247524752475248,0.5155642023346304,505.0
Management Consulting,0.5410691003911343,0.6221889055472264,0.5788005578800557,667.0
Marketing and Advertising,0.6745454545454546,0.710727969348659,0.6921641791044776,522.0
Mechanical or Industrial Engineering,0.5652173913043478,0.5407279029462738,0.5527015057573074,577.0
Media Production,0.5421686746987951,0.18672199170124482,0.2777777777777778,241.0
Medical Practice,0.8263888888888888,0.6685393258426966,0.7391304347826086,356.0
Real Estate,0.8860103626943006,0.7245762711864406,0.7972027972027971,236.0
Recreational Facilities and Services,0.7063492063492064,0.5705128205128205,0.6312056737588653,156.0
Renewables & Environment,0.8305084745762712,0.47572815533980584,0.6049382716049383,103.0
Telecommunications,0.7076923076923077,0.3357664233576642,0.45544554455445546,137.0
Wholesale,0.7207207207207207,0.3448275862068966,0.46647230320699706,232.0
accuracy,0.6560147893833356,0.6560147893833356,0.6560147893833356,0.6560147893833356
macro avg,0.7250168183669388,0.6096304300608345,0.6492660106864421,7573.0
weighted avg,0.6702844943000968,0.6560147893833356,0.6499216670604582,7573.0
