,precision,recall,f1-score,support
Automotive,0.7963800904977375,0.555205047318612,0.654275092936803,317.0
Construction,0.6832298136645962,0.5699481865284974,0.6214689265536724,386.0
Consumer Goods,0.4574290484140234,0.541501976284585,0.4959276018099548,506.0
Financial Services,0.7905027932960894,0.6868932038834952,0.7350649350649351,412.0
Human Resources,0.7723577235772358,0.49222797927461137,0.6012658227848101,193.0
Information Technology and Services,0.553082191780822,0.8584717607973422,0.67274147357459,1505.0
Insurance,0.7843137254901961,0.64,0.7048458149779736,125.0
Legal Services,0.8918918918918919,0.7734375,0.8284518828451882,128.0
"Leisure, Travel & Tourism",0.8448275862068966,0.8032786885245902,0.823529411764706,122.0
Logistics and Supply Chain,0.7821782178217822,0.5374149659863946,0.6370967741935484,147.0
Machinery,0.5046728971962616,0.4277227722772277,0.4630225080385852,505.0
Management Consulting,0.5759599332220368,0.5172413793103449,0.5450236966824644,667.0
Marketing and Advertising,0.6207513416815742,0.6647509578544061,0.6419981498612396,522.0
Mechanical or Industrial Engineering,0.47017045454545453,0.5736568457538995,0.516783762685402,577.0
Media Production,0.5,0.0912863070539419,0.15438596491228068,241.0
Medical Practice,0.7851851851851852,0.5955056179775281,0.6773162939297126,356.0
Real Estate,0.7948717948717948,0.6567796610169492,0.7192575406032482,236.0
Recreational Facilities and Services,0.7142857142857143,0.3525641025641026,0.4721030042918456,156.0
Renewables & Environment,0.6911764705882353,0.4563106796116505,0.5497076023391814,103.0
Telecommunications,0.6129032258064516,0.2773722627737226,0.3819095477386935,137.0
Wholesale,0.5112359550561798,0.3922413793103448,0.44390243902439025,232.0
accuracy,0.6014789383335534,0.6014789383335534,0.6014789383335534,0.6014789383335534
macro avg,0.6732098121466742,0.54589577495725,0.5876227736482488,7573.0
weighted avg,0.6195939877011609,0.6014789383335534,0.5918639501164581,7573.0
