,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,208,0,23,3,1,25,0,0,0,1,19,15,4,15,0,0,0,0,0,1,2
Construction,0,243,21,1,1,31,0,0,2,0,33,19,9,15,0,2,7,0,1,0,1
Consumer Goods,7,10,345,2,0,48,1,1,0,0,26,14,4,24,3,4,1,7,2,0,7
Financial Services,7,1,4,317,0,37,10,3,1,0,2,19,2,1,1,2,1,1,0,3,0
Human Resources,0,0,0,1,110,31,0,0,0,0,2,40,6,1,0,1,0,0,0,0,1
Information Technology and Services,5,5,28,17,5,1282,0,2,4,4,7,82,20,7,22,5,1,1,0,8,0
Insurance,2,0,1,13,0,18,76,0,0,0,1,9,3,0,0,1,0,0,0,1,0
Legal Services,0,1,0,4,0,3,0,107,0,0,1,9,1,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,0,0,8,0,0,101,0,0,2,1,1,0,1,1,4,0,0,0
Logistics and Supply Chain,3,2,3,1,0,14,0,0,0,98,4,9,1,9,0,0,0,0,1,0,2
Machinery,9,13,30,1,0,39,0,0,0,3,265,21,0,104,0,6,3,2,2,0,7
Management Consulting,1,8,13,9,17,147,3,3,0,1,4,415,29,5,2,4,3,1,1,1,0
Marketing and Advertising,5,4,19,2,0,60,0,0,2,2,4,30,371,6,9,4,1,1,1,1,0
Mechanical or Industrial Engineering,9,20,58,2,0,43,0,0,0,4,94,18,2,312,0,5,0,4,2,0,4
Media Production,0,0,9,1,2,87,0,0,3,2,2,14,69,1,45,1,0,1,0,4,0
Medical Practice,1,1,19,3,1,40,1,0,0,2,8,20,3,12,0,238,0,7,0,0,0
Real Estate,1,7,3,11,0,19,1,0,2,1,4,9,6,1,0,0,171,0,0,0,0
Recreational Facilities and Services,0,0,17,0,1,16,0,0,2,0,3,5,4,8,1,6,0,89,0,0,4
Renewables & Environment,1,2,10,1,0,9,0,0,0,0,15,5,0,10,0,1,0,0,49,0,0
Telecommunications,0,1,16,1,1,55,0,0,0,0,0,4,7,2,0,0,1,0,0,46,3
Wholesale,3,4,44,2,0,17,0,0,1,2,29,8,8,18,0,6,2,8,0,0,80
