,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,176,2,20,1,1,36,1,0,0,1,18,12,7,33,1,0,0,1,2,0,5
Construction,0,220,25,0,1,50,1,0,5,1,25,17,4,17,0,2,12,0,3,0,3
Consumer Goods,7,14,274,3,0,66,2,1,1,0,21,15,4,68,1,5,0,5,4,3,12
Financial Services,8,2,4,283,0,70,10,3,1,1,1,15,2,1,0,3,5,0,1,1,1
Human Resources,1,0,3,2,95,40,0,1,0,0,2,36,8,3,0,2,0,0,0,0,0
Information Technology and Services,4,1,19,12,4,1292,1,2,2,5,8,55,38,21,11,12,4,2,0,8,4
Insurance,0,0,1,11,0,21,80,0,0,0,0,3,1,1,1,1,4,0,0,1,0
Legal Services,0,2,1,6,0,10,0,99,0,0,1,6,2,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,1,0,12,1,0,98,0,0,1,0,0,0,0,2,4,0,0,0
Logistics and Supply Chain,2,3,5,3,2,31,0,0,0,79,7,4,4,6,0,0,0,0,0,0,1
Machinery,5,18,24,3,0,54,0,0,1,1,216,13,5,138,0,4,2,0,4,1,16
Management Consulting,2,15,8,12,16,190,1,4,1,2,8,345,29,11,3,8,5,1,3,2,1
Marketing and Advertising,4,6,17,3,1,91,0,0,1,3,4,16,347,3,5,7,3,2,1,1,7
Mechanical or Industrial Engineering,7,11,56,1,1,69,0,0,0,2,66,8,2,331,0,4,1,1,2,1,14
Media Production,1,0,13,2,0,101,0,1,1,0,0,8,82,1,22,3,0,1,0,4,1
Medical Practice,0,2,22,0,0,62,3,0,0,1,7,20,1,20,0,212,1,0,0,0,5
Real Estate,1,12,2,13,0,28,1,0,4,3,1,10,3,2,0,0,155,0,0,0,1
Recreational Facilities and Services,0,0,27,1,2,24,0,0,1,1,8,6,7,6,0,3,0,55,0,1,14
Renewables & Environment,0,5,5,0,0,13,0,0,0,0,16,2,1,14,0,0,0,0,47,0,0
Telecommunications,0,3,16,0,0,59,1,0,0,0,3,5,3,6,0,0,0,0,1,38,2
Wholesale,3,5,55,1,0,17,0,0,0,1,16,2,9,22,0,4,0,5,0,1,91
