,precision,recall,f1-score,support
Automotive,0.7242647058823529,0.6214511041009464,0.6689303904923599,317.0
Construction,0.6765578635014837,0.5906735751295337,0.6307053941908713,386.0
Consumer Goods,0.5106382978723404,0.616600790513834,0.5586392121754701,506.0
Financial Services,0.7959183673469388,0.7572815533980582,0.7761194029850746,412.0
Human Resources,0.76,0.5906735751295337,0.6647230320699707,193.0
Information Technology and Services,0.6066508313539193,0.8485049833887043,0.7074792243767313,1505.0
Insurance,0.8333333333333334,0.6,0.6976744186046512,125.0
Legal Services,0.9210526315789473,0.8203125,0.8677685950413222,128.0
"Leisure, Travel & Tourism",0.8487394957983193,0.8278688524590164,0.8381742738589212,122.0
Logistics and Supply Chain,0.7619047619047619,0.6530612244897959,0.7032967032967032,147.0
Machinery,0.4943820224719101,0.5227722772277228,0.5081809432146295,505.0
Management Consulting,0.5806451612903226,0.5667166416791605,0.5735963581183612,667.0
Marketing and Advertising,0.6141215106732348,0.7164750957854407,0.6613616268788682,522.0
Mechanical or Industrial Engineering,0.56672760511883,0.537261698440208,0.5516014234875445,577.0
Media Production,0.5256410256410257,0.17012448132780084,0.25705329153605017,241.0
Medical Practice,0.7702702702702703,0.6404494382022472,0.6993865030674847,356.0
Real Estate,0.9,0.6864406779661016,0.7788461538461539,236.0
Recreational Facilities and Services,0.6532258064516129,0.5192307692307693,0.5785714285714285,156.0
Renewables & Environment,0.6818181818181818,0.4368932038834951,0.5325443786982248,103.0
Telecommunications,0.6271186440677966,0.27007299270072993,0.3775510204081633,137.0
Wholesale,0.7256637168141593,0.35344827586206895,0.47536231884057967,232.0
accuracy,0.6363396276244553,0.6363396276244553,0.6363396276244553,0.6363396276244553
macro avg,0.6942225825328447,0.5879197005197699,0.6241698139885506,7573.0
weighted avg,0.6468458544106683,0.6363396276244553,0.6284815817454731,7573.0
