,precision,recall,f1-score,support
Automotive,0.7874396135265701,0.5141955835962145,0.6221374045801527,317.0
Construction,0.6449511400651465,0.5129533678756477,0.5714285714285715,386.0
Consumer Goods,0.4220665499124343,0.4762845849802372,0.4475394614670381,506.0
Financial Services,0.8078078078078078,0.6529126213592233,0.7221476510067115,412.0
Human Resources,0.7175572519083969,0.48704663212435234,0.5802469135802469,193.0
Information Technology and Services,0.5009626492106276,0.8644518272425249,0.6343247196489518,1505.0
Insurance,0.7222222222222222,0.52,0.6046511627906976,125.0
Legal Services,0.8807339449541285,0.75,0.810126582278481,128.0
"Leisure, Travel & Tourism",0.8016528925619835,0.7950819672131147,0.7983539094650205,122.0
Logistics and Supply Chain,0.8255813953488372,0.48299319727891155,0.6094420600858369,147.0
Machinery,0.46190476190476193,0.38415841584158417,0.41945945945945945,505.0
Management Consulting,0.5900383141762452,0.4617691154422789,0.5180824222035324,667.0
Marketing and Advertising,0.6606786427145709,0.6340996168582376,0.6471163245356794,522.0
Mechanical or Industrial Engineering,0.4272237196765499,0.5493934142114385,0.48066717210007587,577.0
Media Production,0.42105263157894735,0.0995850622406639,0.16107382550335572,241.0
Medical Practice,0.7857142857142857,0.5252808988764045,0.6296296296296297,356.0
Real Estate,0.8586956521739131,0.6694915254237288,0.7523809523809524,236.0
Recreational Facilities and Services,0.6710526315789473,0.3269230769230769,0.4396551724137931,156.0
Renewables & Environment,0.5686274509803921,0.2815533980582524,0.3766233766233766,103.0
Telecommunications,0.5652173913043478,0.1897810218978102,0.28415300546448086,137.0
Wholesale,0.45108695652173914,0.3577586206896552,0.39903846153846156,232.0
accuracy,0.5682028258286016,0.5682028258286016,0.5682028258286016,0.5682028258286016
macro avg,0.6462984717068025,0.5017006641968264,0.5480132494373575,7573.0
weighted avg,0.5951330915689115,0.5682028258286016,0.5581170906269307,7573.0
