,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,197,3,23,2,1,33,0,0,0,1,21,10,6,17,0,0,1,1,0,0,1
Construction,4,228,21,2,0,37,0,0,2,1,30,18,10,16,1,4,7,2,2,0,1
Consumer Goods,11,13,312,2,0,50,0,2,1,1,28,14,8,33,5,9,1,8,3,0,5
Financial Services,6,1,3,312,0,45,9,2,1,0,2,19,1,2,1,3,0,2,0,3,0
Human Resources,0,1,0,2,114,28,1,0,0,0,2,33,8,0,1,1,0,0,1,0,1
Information Technology and Services,7,3,24,16,8,1277,0,2,2,7,6,68,39,7,16,7,1,1,2,9,3
Insurance,2,0,3,13,0,16,75,0,0,0,4,3,3,0,0,3,1,1,0,1,0
Legal Services,0,0,1,7,0,6,0,105,0,0,0,8,0,0,0,1,0,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,1,1,6,0,0,101,0,1,1,2,0,0,1,1,3,0,1,0
Logistics and Supply Chain,3,2,4,0,0,21,0,0,0,96,4,5,4,5,0,0,0,0,1,0,2
Machinery,12,17,26,1,0,41,0,0,0,3,264,14,6,99,1,7,1,3,5,0,5
Management Consulting,1,9,12,10,18,161,3,3,1,3,7,378,34,6,4,8,1,0,5,3,0
Marketing and Advertising,5,6,12,1,0,72,0,0,3,2,5,22,374,3,8,4,1,1,0,2,1
Mechanical or Industrial Engineering,15,21,48,1,1,48,0,0,0,5,94,9,8,310,0,6,1,3,1,0,6
Media Production,0,0,10,3,3,88,0,0,2,1,1,10,74,0,41,3,1,2,0,2,0
Medical Practice,3,2,16,3,2,48,1,0,0,3,10,17,8,10,0,228,0,5,0,0,0
Real Estate,1,16,2,13,0,21,1,0,3,1,2,10,3,1,0,0,162,0,0,0,0
Recreational Facilities and Services,1,2,21,0,0,16,0,0,2,0,6,3,8,7,0,5,0,81,0,1,3
Renewables & Environment,1,4,6,1,1,10,0,0,0,1,20,2,0,12,0,0,0,0,45,0,0
Telecommunications,0,3,21,1,1,55,0,0,0,0,5,3,6,2,0,0,0,0,0,37,3
Wholesale,3,5,44,1,0,26,0,0,1,1,22,4,7,17,0,6,1,11,1,0,82
