,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,163,1,26,3,1,52,0,0,1,1,19,6,1,31,1,1,0,0,3,0,7
Construction,2,198,31,1,0,67,2,0,5,0,30,9,3,20,0,2,9,1,2,0,4
Consumer Goods,6,15,241,2,1,88,1,1,1,1,25,5,1,82,2,2,0,4,4,2,22
Financial Services,5,1,6,269,0,77,11,3,2,1,2,17,4,4,1,3,3,1,0,1,1
Human Resources,1,3,3,1,94,42,0,1,0,0,1,36,5,4,0,2,0,0,0,0,0
Information Technology and Services,5,7,16,8,8,1301,2,2,4,1,9,51,33,20,7,14,3,2,0,8,4
Insurance,2,1,4,12,0,29,65,0,0,0,0,4,1,2,0,3,2,0,0,0,0
Legal Services,0,3,4,6,0,12,0,96,0,0,0,6,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,1,0,0,17,0,0,97,1,0,2,0,1,0,0,1,2,0,0,0
Logistics and Supply Chain,3,2,8,1,1,31,0,0,0,71,8,8,1,10,0,1,0,0,0,0,2
Machinery,3,15,29,2,0,82,1,0,0,1,194,5,2,149,0,1,2,0,4,0,15
Management Consulting,5,13,8,10,18,223,3,5,0,2,6,308,29,14,4,9,3,0,4,1,2
Marketing and Advertising,0,6,14,1,2,114,0,0,1,1,3,18,331,5,11,2,1,2,1,4,5
Mechanical or Industrial Engineering,8,13,46,2,0,90,0,0,0,1,70,9,1,317,1,2,0,2,1,0,14
Media Production,0,1,13,3,3,103,0,0,2,1,0,8,73,0,24,2,1,3,0,1,3
Medical Practice,0,1,26,1,0,71,3,0,0,1,11,16,3,28,2,187,0,1,0,0,5
Real Estate,0,13,3,9,0,36,2,1,3,2,1,4,0,1,1,1,158,0,0,1,0
Recreational Facilities and Services,0,1,21,0,2,39,0,0,3,0,10,0,3,5,1,3,0,51,1,2,14
Renewables & Environment,1,6,10,0,0,18,0,0,0,0,17,1,0,20,0,0,0,0,29,0,1
Telecommunications,0,3,10,1,0,72,0,0,0,0,2,5,5,8,1,1,0,0,1,26,2
Wholesale,3,4,51,1,1,33,0,0,2,1,12,4,5,21,1,2,0,7,1,0,83
