,precision,recall,f1-score,support
Automotive,0.7681159420289855,0.668769716088328,0.715008431703204,317.0
Construction,0.7401812688821753,0.6347150259067358,0.6834030683403068,386.0
Consumer Goods,0.5215453194650818,0.6936758893280632,0.5954198473282443,506.0
Financial Services,0.8107416879795396,0.7694174757281553,0.7895392278953922,412.0
Human Resources,0.8074074074074075,0.5647668393782384,0.6646341463414633,193.0
Information Technology and Services,0.6401799100449775,0.8511627906976744,0.730747290359384,1505.0
Insurance,0.8316831683168316,0.672,0.7433628318584071,125.0
Legal Services,0.9230769230769231,0.84375,0.8816326530612245,128.0
"Leisure, Travel & Tourism",0.8429752066115702,0.8360655737704918,0.8395061728395061,122.0
Logistics and Supply Chain,0.8174603174603174,0.7006802721088435,0.7545787545787547,147.0
Machinery,0.5145631067961165,0.5247524752475248,0.5196078431372549,505.0
Management Consulting,0.5681492109038737,0.5937031484257871,0.5806451612903225,667.0
Marketing and Advertising,0.662020905923345,0.7279693486590039,0.6934306569343066,522.0
Mechanical or Industrial Engineering,0.5787610619469027,0.5667244367417678,0.5726795096322241,577.0
Media Production,0.5487804878048781,0.18672199170124482,0.2786377708978328,241.0
Medical Practice,0.8127090301003345,0.6825842696629213,0.7419847328244275,356.0
Real Estate,0.8894736842105263,0.7161016949152542,0.7934272300469484,236.0
Recreational Facilities and Services,0.7380952380952381,0.5961538461538461,0.6595744680851063,156.0
Renewables & Environment,0.78125,0.4854368932038835,0.5988023952095809,103.0
Telecommunications,0.6885245901639344,0.30656934306569344,0.42424242424242425,137.0
Wholesale,0.703125,0.3879310344827586,0.5,232.0
accuracy,0.6618249042651525,0.6618249042651525,0.6618249042651525,0.6618249042651525
macro avg,0.7232771174866172,0.6195072412031531,0.6552792674574436,7573.0
weighted avg,0.6727116367105012,0.6618249042651525,0.6554235865367974,7573.0
