,precision,recall,f1-score,support
Automotive,0.7911111111111111,0.5615141955835962,0.6568265682656826,317.0
Construction,0.6787878787878788,0.5803108808290155,0.6256983240223463,386.0
Consumer Goods,0.4358161648177496,0.5434782608695652,0.48372911169744937,506.0
Financial Services,0.7768817204301075,0.7014563106796117,0.7372448979591837,412.0
Human Resources,0.7716535433070866,0.5077720207253886,0.6125,193.0
Information Technology and Services,0.5524597300827165,0.8431893687707641,0.6675433982114676,1505.0
Insurance,0.7959183673469388,0.624,0.6995515695067265,125.0
Legal Services,0.8938053097345132,0.7890625,0.8381742738589212,128.0
"Leisure, Travel & Tourism",0.8376068376068376,0.8032786885245902,0.8200836820083682,122.0
Logistics and Supply Chain,0.8064516129032258,0.5102040816326531,0.625,147.0
Machinery,0.5170731707317073,0.4198019801980198,0.46338797814207655,505.0
Management Consulting,0.6059544658493871,0.5187406296851574,0.5589660743134087,667.0
Marketing and Advertising,0.6511194029850746,0.6685823754789272,0.6597353497164461,522.0
Mechanical or Industrial Engineering,0.4521276595744681,0.5892547660311959,0.5116629044394282,577.0
Media Production,0.49056603773584906,0.1078838174273859,0.17687074829931976,241.0
Medical Practice,0.7857142857142857,0.6179775280898876,0.6918238993710691,356.0
Real Estate,0.8020304568527918,0.6694915254237288,0.7297921478060047,236.0
Recreational Facilities and Services,0.7368421052631579,0.358974358974359,0.4827586206896552,156.0
Renewables & Environment,0.6615384615384615,0.4174757281553398,0.511904761904762,103.0
Telecommunications,0.6031746031746031,0.2773722627737226,0.38,137.0
Wholesale,0.49700598802395207,0.3577586206896552,0.4160401002506266,232.0
accuracy,0.6016109863990493,0.6016109863990493,0.6016109863990493,0.6016109863990493
macro avg,0.6735066149319954,0.5460752333591697,0.5880616385934735,7573.0
weighted avg,0.6209835616594328,0.6016109863990493,0.5931576354614031,7573.0
