,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,178,1,25,2,1,36,1,0,0,1,15,8,5,37,0,0,0,1,0,0,6
Construction,0,224,26,0,1,52,0,0,4,1,22,14,4,18,1,2,11,0,5,0,1
Consumer Goods,10,12,275,1,0,72,2,1,1,0,21,7,1,71,0,2,1,5,6,4,14
Financial Services,8,2,4,289,0,63,9,3,0,0,2,16,1,2,0,6,3,0,1,2,1
Human Resources,0,0,2,2,98,44,0,1,1,0,2,33,7,2,0,1,0,0,0,0,0
Information Technology and Services,4,5,21,13,2,1269,2,2,2,4,8,63,28,33,15,12,6,1,1,11,3
Insurance,0,1,1,13,0,22,78,0,0,0,0,3,1,1,0,1,4,0,0,0,0
Legal Services,0,2,2,6,0,9,0,101,0,0,1,5,1,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,14,1,0,98,0,0,0,0,1,0,0,2,3,0,0,0
Logistics and Supply Chain,2,4,10,3,1,29,0,0,0,75,7,3,5,3,0,1,0,0,0,0,4
Machinery,5,16,27,4,0,51,0,0,1,2,212,10,5,146,0,5,2,0,2,1,16
Management Consulting,1,14,15,15,21,179,1,4,0,3,8,346,27,11,2,10,4,0,1,3,2
Marketing and Advertising,3,6,20,2,0,91,0,0,2,2,1,19,349,4,7,3,3,1,1,1,7
Mechanical or Industrial Engineering,8,13,59,1,1,63,0,0,0,1,65,4,3,340,1,5,0,1,3,0,9
Media Production,2,0,15,2,0,97,0,1,1,0,0,9,79,2,26,2,1,1,0,1,2
Medical Practice,0,3,28,1,0,60,3,0,1,1,6,13,0,16,0,220,1,1,0,0,2
Real Estate,1,14,2,15,0,29,1,0,4,2,0,5,3,1,0,0,158,0,0,0,1
Recreational Facilities and Services,0,0,26,1,1,24,0,0,2,0,6,3,7,8,0,5,0,56,1,1,15
Renewables & Environment,1,4,6,1,0,13,0,0,0,0,17,1,1,16,0,0,0,0,43,0,0
Telecommunications,0,2,14,0,0,61,0,0,0,0,1,7,3,8,1,0,0,0,1,38,1
Wholesale,2,6,52,0,1,19,0,0,0,1,16,2,6,32,0,5,0,6,0,1,83
