,precision,recall,f1-score,support
Automotive,0.7411347517730497,0.6593059936908517,0.6978297161936561,317.0
Construction,0.7023809523809523,0.6113989637305699,0.6537396121883656,386.0
Consumer Goods,0.48861911987860396,0.6363636363636364,0.5527896995708155,506.0
Financial Services,0.7830423940149626,0.7621359223300971,0.7724477244772447,412.0
Human Resources,0.7619047619047619,0.5803108808290155,0.6588235294117647,193.0
Information Technology and Services,0.6444895886236668,0.8431893687707641,0.7305699481865285,1505.0
Insurance,0.826530612244898,0.648,0.726457399103139,125.0
Legal Services,0.8951612903225806,0.8671875,0.880952380952381,128.0
"Leisure, Travel & Tourism",0.8620689655172413,0.819672131147541,0.8403361344537814,122.0
Logistics and Supply Chain,0.7686567164179104,0.7006802721088435,0.7330960854092526,147.0
Machinery,0.4756944444444444,0.5425742574257426,0.5069380203515264,505.0
Management Consulting,0.5919354838709677,0.5502248875562219,0.5703185703185704,667.0
Marketing and Advertising,0.6854130052724078,0.7471264367816092,0.7149404216315307,522.0
Mechanical or Industrial Engineering,0.5477031802120141,0.537261698440208,0.5424321959755031,577.0
Media Production,0.5257731958762887,0.21161825726141079,0.30177514792899407,241.0
Medical Practice,0.7938144329896907,0.648876404494382,0.7140649149922721,356.0
Real Estate,0.8877005347593583,0.7033898305084746,0.7848699763593381,236.0
Recreational Facilities and Services,0.644927536231884,0.5705128205128205,0.6054421768707482,156.0
Renewables & Environment,0.7627118644067796,0.4368932038834951,0.5555555555555555,103.0
Telecommunications,0.6557377049180327,0.291970802919708,0.404040404040404,137.0
Wholesale,0.6573426573426573,0.4051724137931034,0.5013333333333333,232.0
accuracy,0.6488841938465602,0.6488841938465602,0.6488841938465602,0.6488841938465602
macro avg,0.700130628257293,0.608279318216595,0.6404168070145099,7573.0
weighted avg,0.6573552156195022,0.6488841938465602,0.6430896944104675,7573.0
