,precision,recall,f1-score,support
Automotive,0.8046511627906977,0.5457413249211357,0.650375939849624,317.0
Construction,0.6824925816023739,0.5958549222797928,0.636237897648686,386.0
Consumer Goods,0.4478632478632479,0.5177865612648221,0.48029330889092575,506.0
Financial Services,0.7868852459016393,0.6990291262135923,0.7403598971722364,412.0
Human Resources,0.7734375,0.5129533678756477,0.6168224299065421,193.0
Information Technology and Services,0.5539065910082933,0.8431893687707641,0.6685985247629084,1505.0
Insurance,0.78,0.624,0.6933333333333335,125.0
Legal Services,0.8938053097345132,0.7890625,0.8381742738589212,128.0
"Leisure, Travel & Tourism",0.8608695652173913,0.8114754098360656,0.8354430379746836,122.0
Logistics and Supply Chain,0.7938144329896907,0.5238095238095238,0.6311475409836066,147.0
Machinery,0.5012106537530266,0.4099009900990099,0.4509803921568627,505.0
Management Consulting,0.6,0.4947526236881559,0.5423171733771569,667.0
Marketing and Advertising,0.6488970588235294,0.6762452107279694,0.6622889305816135,522.0
Mechanical or Industrial Engineering,0.44374209860935526,0.608318890814558,0.5131578947368421,577.0
Media Production,0.46875,0.12448132780082988,0.19672131147540983,241.0
Medical Practice,0.7947761194029851,0.598314606741573,0.6826923076923076,356.0
Real Estate,0.7989690721649485,0.6567796610169492,0.7209302325581395,236.0
Recreational Facilities and Services,0.6931818181818182,0.391025641025641,0.5,156.0
Renewables & Environment,0.6285714285714286,0.42718446601941745,0.5086705202312137,103.0
Telecommunications,0.609375,0.2846715328467153,0.38805970149253727,137.0
Wholesale,0.48333333333333334,0.375,0.4223300970873786,232.0
accuracy,0.6002905057440908,0.6002905057440908,0.6002905057440908,0.6002905057440908
macro avg,0.6689777247594415,0.54807509789296,0.589473083131949,7573.0
weighted avg,0.6188955948042593,0.6002905057440908,0.5925208176925398,7573.0
