,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,209,4,21,0,1,22,0,0,0,3,20,10,1,19,0,2,1,2,0,1,1
Construction,3,236,24,3,2,26,0,0,2,1,37,15,8,14,0,2,5,1,3,0,4
Consumer Goods,12,9,322,1,0,47,0,2,0,0,25,14,5,37,2,8,1,8,3,0,10
Financial Services,6,0,8,314,0,35,11,3,1,0,3,16,3,3,1,3,1,1,1,2,0
Human Resources,0,0,1,1,112,27,0,0,0,0,1,36,7,2,1,4,0,0,0,0,1
Information Technology and Services,6,7,41,20,6,1269,1,2,5,7,3,63,28,9,21,5,1,1,0,7,3
Insurance,0,0,3,16,0,10,81,0,0,2,2,5,3,0,0,2,1,0,0,0,0
Legal Services,0,1,1,7,0,1,0,111,0,0,0,6,0,1,0,0,0,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,0,1,6,0,0,100,0,1,0,3,2,0,1,1,5,0,0,0
Logistics and Supply Chain,2,2,4,0,0,13,0,0,0,103,6,4,1,8,0,0,0,2,1,0,1
Machinery,10,17,28,1,0,39,0,0,0,2,274,8,1,99,1,7,2,3,3,0,10
Management Consulting,5,11,11,14,18,161,2,4,1,2,10,367,31,6,5,9,4,2,2,2,0
Marketing and Advertising,3,7,14,3,0,52,0,0,1,1,6,14,390,3,13,3,1,3,1,4,3
Mechanical or Industrial Engineering,17,18,57,1,3,38,0,0,0,4,105,7,4,310,1,2,0,2,0,0,8
Media Production,0,1,13,3,1,81,0,2,1,3,3,11,59,1,51,1,1,3,0,4,2
Medical Practice,3,2,19,3,2,32,1,0,0,2,12,20,7,14,0,231,0,7,0,0,1
Real Estate,0,11,4,8,0,18,1,0,3,2,3,11,2,5,0,1,166,1,0,0,0
Recreational Facilities and Services,0,2,16,0,0,12,0,0,2,0,13,2,5,7,0,5,0,89,0,1,2
Renewables & Environment,1,1,7,3,0,9,1,0,0,0,19,5,0,12,0,0,0,0,45,0,0
Telecommunications,0,3,17,2,1,53,0,0,0,0,3,5,8,1,0,0,1,0,0,40,3
Wholesale,5,3,47,1,0,18,0,0,0,2,30,1,3,13,1,5,1,8,0,0,94
