,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,173,1,26,1,1,33,0,0,0,1,18,10,8,36,0,0,0,0,2,0,7
Construction,0,230,23,0,1,50,0,0,3,1,22,12,3,18,2,2,12,1,4,0,2
Consumer Goods,8,13,262,3,0,64,2,1,1,0,20,8,3,85,1,2,0,8,7,5,13
Financial Services,8,2,4,288,0,66,9,3,0,0,2,14,1,4,0,2,5,0,0,2,2
Human Resources,0,0,3,1,99,44,0,1,1,1,2,31,6,2,0,2,0,0,0,0,0
Information Technology and Services,4,7,20,13,4,1269,2,2,2,4,7,54,28,34,19,14,5,1,1,11,4
Insurance,0,0,1,10,0,23,78,0,0,0,0,3,2,2,0,1,4,0,0,1,0
Legal Services,0,2,2,6,0,10,0,101,0,0,1,3,2,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,12,1,0,99,0,0,0,0,1,0,0,2,4,0,0,0
Logistics and Supply Chain,1,1,10,2,2,27,1,0,0,77,6,8,2,6,1,0,0,0,0,0,3
Machinery,3,17,26,3,0,53,0,0,1,2,207,7,3,153,0,5,2,0,4,1,18
Management Consulting,2,19,12,15,18,187,2,4,1,2,10,330,29,11,3,10,4,1,2,2,3
Marketing and Advertising,4,7,20,2,0,89,0,0,2,2,2,14,353,4,6,4,2,2,1,0,8
Mechanical or Industrial Engineering,7,7,54,1,1,62,0,0,0,1,67,6,2,351,0,3,0,1,3,0,11
Media Production,1,0,12,2,1,94,0,1,1,0,0,9,80,2,30,2,0,1,0,2,3
Medical Practice,0,4,21,1,0,62,4,0,0,2,5,17,1,21,0,213,1,1,0,0,3
Real Estate,0,14,4,14,0,28,1,0,3,2,1,10,3,0,0,0,155,0,0,0,1
Recreational Facilities and Services,0,0,24,1,1,25,0,0,1,1,9,4,5,7,0,3,0,61,0,1,13
Renewables & Environment,0,4,6,1,0,15,0,0,0,0,19,0,1,12,0,1,0,0,44,0,0
Telecommunications,0,2,10,0,0,61,0,0,0,0,1,7,3,9,1,0,1,0,1,39,2
Wholesale,4,6,44,1,0,17,0,0,0,1,14,3,9,33,1,4,0,7,1,0,87
