,precision,recall,f1-score,support
Automotive,0.6638297872340425,0.4921135646687697,0.5652173913043478,317.0
Construction,0.6145038167938931,0.4170984455958549,0.49691358024691357,386.0
Consumer Goods,0.3693820224719101,0.5197628458498024,0.43185550082101803,506.0
Financial Services,0.7304582210242587,0.6577669902912622,0.6922094508301405,412.0
Human Resources,0.6234567901234568,0.5233160621761658,0.5690140845070423,193.0
Information Technology and Services,0.47512343334599316,0.8312292358803987,0.6046399226679555,1505.0
Insurance,0.7840909090909091,0.552,0.6478873239436619,125.0
Legal Services,0.8640776699029126,0.6953125,0.7705627705627706,128.0
"Leisure, Travel & Tourism",0.8584905660377359,0.7459016393442623,0.7982456140350876,122.0
Logistics and Supply Chain,0.7941176470588235,0.5510204081632653,0.6506024096385542,147.0
Machinery,0.47285067873303166,0.41386138613861384,0.4413938753959873,505.0
Management Consulting,0.4964200477326969,0.3118440779610195,0.3830570902394106,667.0
Marketing and Advertising,0.5764192139737991,0.5057471264367817,0.5387755102040817,522.0
Mechanical or Industrial Engineering,0.5024469820554649,0.5337954939341422,0.5176470588235295,577.0
Media Production,0.4,0.16597510373443983,0.23460410557184752,241.0
Medical Practice,0.6810035842293907,0.5337078651685393,0.5984251968503937,356.0
Real Estate,0.8203592814371258,0.5805084745762712,0.6799007444168734,236.0
Recreational Facilities and Services,0.6153846153846154,0.41025641025641024,0.4923076923076924,156.0
Renewables & Environment,0.6388888888888888,0.22330097087378642,0.3309352517985612,103.0
Telecommunications,0.5849056603773585,0.22627737226277372,0.3263157894736843,137.0
Wholesale,0.5703125,0.3146551724137931,0.40555555555555556,232.0
accuracy,0.5387561072230291,0.5387561072230291,0.5387561072230291,0.5387561072230291
macro avg,0.625548681709348,0.4859738640822072,0.532193615199767,7573.0
weighted avg,0.5636283748681427,0.5387561072230291,0.5288761622968248,7573.0
