,precision,recall,f1-score,support
Automotive,0.6008771929824561,0.43217665615141954,0.5027522935779816,317.0
Construction,0.5708502024291497,0.36528497409326427,0.44549763033175355,386.0
Consumer Goods,0.3987341772151899,0.37351778656126483,0.3857142857142858,506.0
Financial Services,0.7603833865814696,0.5776699029126213,0.6565517241379311,412.0
Human Resources,0.6495726495726496,0.39378238341968913,0.4903225806451613,193.0
Information Technology and Services,0.4019975031210986,0.8558139534883721,0.5470375875982162,1505.0
Insurance,0.6989247311827957,0.52,0.5963302752293578,125.0
Legal Services,0.8333333333333334,0.5859375,0.6880733944954128,128.0
"Leisure, Travel & Tourism",0.826530612244898,0.6639344262295082,0.7363636363636363,122.0
Logistics and Supply Chain,0.6236559139784946,0.3945578231292517,0.4833333333333334,147.0
Machinery,0.4327956989247312,0.3188118811881188,0.3671607753705815,505.0
Management Consulting,0.5142118863049095,0.2983508245877061,0.37760910815939275,667.0
Marketing and Advertising,0.6155913978494624,0.4386973180076628,0.5123042505592841,522.0
Mechanical or Industrial Engineering,0.4169139465875371,0.48700173310225303,0.4492406075139888,577.0
Media Production,0.46153846153846156,0.14937759336099585,0.225705329153605,241.0
Medical Practice,0.6798245614035088,0.4353932584269663,0.5308219178082193,356.0
Real Estate,0.7724137931034483,0.4745762711864407,0.5879265091863517,236.0
Recreational Facilities and Services,0.6025641025641025,0.30128205128205127,0.4017094017094017,156.0
Renewables & Environment,0.4642857142857143,0.1262135922330097,0.19847328244274806,103.0
Telecommunications,0.3548387096774194,0.16058394160583941,0.22110552763819094,137.0
Wholesale,0.40625,0.33620689655172414,0.36792452830188677,232.0
accuracy,0.48606892909018884,0.48606892909018884,0.48606892909018884,0.48606892909018884
macro avg,0.575527998803849,0.4137700365484837,0.46533133234622476,7573.0
weighted avg,0.5264024014227398,0.48606892909018884,0.4731577833223623,7573.0
