,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,156,1,26,3,5,55,0,0,0,1,23,9,6,25,2,0,0,3,0,0,2
Construction,4,161,32,6,2,92,0,0,1,0,21,8,9,25,0,4,9,2,4,2,4
Consumer Goods,13,12,263,4,1,90,0,1,1,1,28,7,9,36,2,7,0,13,2,2,14
Financial Services,8,4,15,271,2,80,8,0,0,0,3,7,4,1,0,3,4,0,0,1,1
Human Resources,0,3,4,1,101,39,1,1,0,0,3,26,7,1,1,3,0,1,1,0,0
Information Technology and Services,6,5,51,14,8,1251,2,4,3,3,12,48,38,14,17,14,3,0,1,8,3
Insurance,2,0,8,11,2,18,69,0,0,0,2,7,1,1,0,2,2,0,0,0,0
Legal Services,0,0,5,4,0,12,1,89,0,0,2,10,0,3,1,0,0,0,0,1,0
"Leisure, Travel & Tourism",0,1,4,3,0,15,1,0,91,0,0,3,2,0,0,0,1,1,0,0,0
Logistics and Supply Chain,3,2,10,0,0,25,0,1,0,81,7,5,1,6,1,3,0,0,0,0,2
Machinery,15,16,41,3,1,67,0,0,0,2,209,11,2,113,1,8,0,2,1,2,11
Management Consulting,2,11,23,11,26,288,2,6,2,4,7,208,37,8,12,11,4,2,1,1,1
Marketing and Advertising,3,2,37,5,6,127,0,0,2,2,3,30,264,3,22,6,3,3,1,0,3
Mechanical or Industrial Engineering,15,11,47,4,1,94,0,0,1,4,65,7,5,308,0,5,0,0,1,0,9
Media Production,0,0,12,4,0,116,0,0,2,1,3,5,47,2,40,1,3,2,0,1,2
Medical Practice,2,1,35,4,3,67,2,1,0,0,11,14,4,17,0,190,1,3,0,1,0
Real Estate,0,13,5,15,1,43,1,0,2,2,2,3,3,4,0,4,137,0,1,0,0
Recreational Facilities and Services,0,3,19,2,1,33,0,0,1,0,11,1,2,7,0,9,0,64,0,1,2
Renewables & Environment,3,8,10,1,0,25,0,0,0,0,11,1,1,20,0,0,0,0,23,0,0
Telecommunications,0,4,16,2,1,64,0,0,0,0,6,2,6,2,1,1,0,0,0,31,1
Wholesale,3,4,49,3,1,32,1,0,0,1,13,7,10,17,0,8,0,8,0,2,73
