,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,137,0,23,4,0,80,1,0,0,3,15,5,2,36,0,1,0,3,0,2,5
Construction,4,141,21,1,2,125,0,0,3,3,26,8,7,25,1,3,10,0,2,1,3
Consumer Goods,10,11,189,0,2,153,0,1,1,2,28,6,1,63,2,4,1,9,2,2,19
Financial Services,9,1,3,238,0,121,10,3,0,0,4,9,2,2,0,2,5,0,1,1,1
Human Resources,2,3,1,1,76,63,2,1,0,2,1,26,7,2,1,4,0,0,0,1,0
Information Technology and Services,13,6,18,13,7,1288,4,2,1,6,7,48,21,22,13,11,2,1,1,12,9
Insurance,2,1,2,7,1,37,65,0,0,0,0,2,1,1,1,3,2,0,0,0,0
Legal Services,0,2,2,9,0,28,1,75,0,0,1,6,0,2,0,0,2,0,0,0,0
"Leisure, Travel & Tourism",1,1,3,0,0,28,1,0,81,0,0,0,0,1,0,0,2,3,0,0,1
Logistics and Supply Chain,6,2,8,1,1,42,1,0,0,58,8,2,1,8,1,4,1,0,1,0,2
Machinery,8,17,30,4,3,105,1,0,2,2,161,12,1,126,1,3,0,2,3,3,21
Management Consulting,5,13,7,5,22,323,2,7,1,2,7,199,30,15,6,11,3,2,1,5,1
Marketing and Advertising,3,7,20,6,0,191,1,1,0,2,2,24,229,6,14,2,1,2,0,5,6
Mechanical or Industrial Engineering,15,9,43,1,0,118,0,0,1,4,59,9,2,281,0,2,1,2,1,1,28
Media Production,1,0,7,3,0,121,0,0,5,0,2,5,50,0,36,4,2,1,0,2,2
Medical Practice,4,0,23,1,1,107,2,0,0,1,11,15,3,22,0,155,1,2,1,0,7
Real Estate,0,19,3,17,0,59,2,0,2,1,3,7,5,4,0,1,112,0,1,0,0
Recreational Facilities and Services,3,1,17,0,1,41,0,0,1,2,7,0,4,10,0,11,0,47,0,2,9
Renewables & Environment,1,7,8,0,0,40,0,0,0,1,17,0,1,14,0,0,0,0,13,1,0
Telecommunications,1,2,13,0,0,81,0,0,0,0,1,3,3,8,2,0,0,0,1,22,0
Wholesale,3,4,33,2,1,53,0,0,0,4,12,1,2,26,0,7,0,4,0,2,78
