,precision,recall,f1-score,support
Automotive,0.7222222222222222,0.6561514195583596,0.687603305785124,317.0
Construction,0.7100591715976331,0.6217616580310881,0.6629834254143646,386.0
Consumer Goods,0.4813153961136024,0.6363636363636364,0.5480851063829788,506.0
Financial Services,0.8103896103896104,0.7572815533980582,0.7829360100376414,412.0
Human Resources,0.7841726618705036,0.5647668393782384,0.6566265060240964,193.0
Information Technology and Services,0.6433249370277078,0.8485049833887043,0.7318051575931231,1505.0
Insurance,0.8350515463917526,0.648,0.7297297297297297,125.0
Legal Services,0.8888888888888888,0.875,0.8818897637795274,128.0
"Leisure, Travel & Tourism",0.864406779661017,0.8360655737704918,0.85,122.0
Logistics and Supply Chain,0.8220338983050848,0.6598639455782312,0.732075471698113,147.0
Machinery,0.5407725321888412,0.499009900990099,0.5190525231719877,505.0
Management Consulting,0.6020408163265306,0.5307346326836582,0.5641434262948208,667.0
Marketing and Advertising,0.671304347826087,0.7394636015325671,0.7037374658158614,522.0
Mechanical or Industrial Engineering,0.5464396284829721,0.6117850953206239,0.5772690106295995,577.0
Media Production,0.4307692307692308,0.23236514522821577,0.3018867924528302,241.0
Medical Practice,0.8051948051948052,0.6966292134831461,0.7469879518072291,356.0
Real Estate,0.8756476683937824,0.7161016949152542,0.7878787878787878,236.0
Recreational Facilities and Services,0.7196969696969697,0.6089743589743589,0.6597222222222222,156.0
Renewables & Environment,0.75,0.46601941747572817,0.5748502994011976,103.0
Telecommunications,0.671875,0.31386861313868614,0.427860696517413,137.0
Wholesale,0.6944444444444444,0.43103448275862066,0.5319148936170212,232.0
accuracy,0.6554865971213522,0.6554865971213522,0.6554865971213522,0.6554865971213522
macro avg,0.7080976455138899,0.6166545602841793,0.6504304069644603,7573.0
weighted avg,0.6634919802777813,0.6554865971213522,0.6503236543126405,7573.0
