,precision,recall,f1-score,support
Automotive,0.7575757575757576,0.5520504731861199,0.6386861313868614,317.0
Construction,0.6785714285714286,0.5414507772020726,0.6023054755043228,386.0
Consumer Goods,0.44982698961937717,0.5138339920948617,0.4797047970479705,506.0
Financial Services,0.7690288713910761,0.7111650485436893,0.7389659520807061,412.0
Human Resources,0.75,0.49740932642487046,0.5981308411214953,193.0
Information Technology and Services,0.5630252100840336,0.8458471760797343,0.6760488582049922,1505.0
Insurance,0.7766990291262136,0.64,0.7017543859649122,125.0
Legal Services,0.8888888888888888,0.75,0.8135593220338982,128.0
"Leisure, Travel & Tourism",0.792,0.8114754098360656,0.8016194331983807,122.0
Logistics and Supply Chain,0.77,0.5238095238095238,0.6234817813765183,147.0
Machinery,0.4678111587982833,0.4316831683168317,0.44902162718846544,505.0
Management Consulting,0.5193798449612403,0.5022488755622189,0.510670731707317,667.0
Marketing and Advertising,0.6285178236397748,0.6417624521072797,0.6350710900473933,522.0
Mechanical or Industrial Engineering,0.4795486600846262,0.5892547660311959,0.5287713841368584,577.0
Media Production,0.3880597014925373,0.1078838174273859,0.16883116883116883,241.0
Medical Practice,0.8202247191011236,0.6151685393258427,0.7030497592295345,356.0
Real Estate,0.8020304568527918,0.6694915254237288,0.7297921478060047,236.0
Recreational Facilities and Services,0.686046511627907,0.3782051282051282,0.48760330578512395,156.0
Renewables & Environment,0.7090909090909091,0.3786407766990291,0.49367088607594944,103.0
Telecommunications,0.6666666666666666,0.2773722627737226,0.3917525773195876,137.0
Wholesale,0.5119047619047619,0.3706896551724138,0.43,232.0
accuracy,0.5956688234517364,0.5956688234517364,0.5956688234517364,0.5956688234517364
macro avg,0.6607093994989237,0.540449652105796,0.5810710312403553,7573.0
weighted avg,0.6089697401227028,0.5956688234517364,0.5868038921456865,7573.0
