,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,208,1,15,4,2,24,0,0,0,1,18,10,4,23,1,0,0,2,0,0,4
Construction,6,240,19,2,1,32,0,0,3,1,24,8,9,25,1,2,6,0,4,0,3
Consumer Goods,14,10,322,0,1,47,0,1,0,0,24,9,9,34,3,7,1,10,3,2,9
Financial Services,7,1,9,312,1,37,8,2,0,0,2,24,3,1,1,2,1,1,0,0,0
Human Resources,0,0,3,1,109,28,0,1,1,0,4,33,6,3,1,3,0,0,0,0,0
Information Technology and Services,7,5,33,16,3,1277,1,3,5,5,8,53,25,7,33,8,3,1,1,9,2
Insurance,2,0,2,17,0,11,81,0,0,0,2,6,2,1,0,0,1,0,0,0,0
Legal Services,0,1,1,4,0,1,0,112,0,0,2,4,0,2,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,2,0,0,8,0,0,102,0,0,2,2,0,0,1,1,4,0,0,0
Logistics and Supply Chain,3,2,4,0,0,11,0,0,0,97,9,5,1,9,2,2,0,0,1,0,1
Machinery,7,15,35,0,0,37,0,0,0,2,252,14,3,117,1,7,2,1,3,0,9
Management Consulting,4,15,11,14,18,165,3,6,1,3,7,354,28,8,10,10,3,1,2,2,2
Marketing and Advertising,5,5,20,1,2,48,0,0,0,1,2,18,386,6,17,4,2,2,0,1,2
Mechanical or Industrial Engineering,12,15,49,2,0,41,0,0,0,2,73,11,4,353,0,3,1,1,1,0,9
Media Production,2,0,15,1,1,79,0,1,2,2,0,7,65,2,56,1,2,2,0,3,0
Medical Practice,2,0,27,1,0,39,3,0,0,1,1,11,1,16,0,248,0,5,0,1,0
Real Estate,2,20,6,4,0,21,1,0,3,1,1,2,2,1,1,2,169,0,0,0,0
Recreational Facilities and Services,0,0,18,1,0,14,0,0,1,0,6,1,6,6,1,4,0,95,0,1,2
Renewables & Environment,1,2,10,1,0,8,0,0,0,1,12,3,1,15,1,0,0,0,48,0,0
Telecommunications,0,4,16,3,1,49,0,0,0,0,2,4,10,2,1,0,0,0,1,43,1
Wholesale,6,2,52,1,0,8,0,0,0,1,17,9,8,15,0,4,0,7,0,2,100
