,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,175,3,22,2,0,36,1,0,1,1,12,14,9,34,1,0,0,1,0,0,5
Construction,0,209,24,0,1,48,0,0,9,2,37,16,6,13,1,2,12,0,3,0,3
Consumer Goods,8,10,260,3,0,73,1,1,1,1,29,13,8,68,3,2,0,10,3,2,10
Financial Services,9,2,4,293,0,56,10,3,0,0,4,22,1,1,0,2,4,1,0,0,0
Human Resources,0,0,2,3,96,39,1,1,1,0,1,38,6,3,0,2,0,0,0,0,0
Information Technology and Services,7,3,17,18,5,1273,1,2,2,4,4,69,27,24,16,12,5,2,1,9,4
Insurance,0,0,2,11,0,16,80,0,0,1,1,8,1,1,0,0,3,0,0,1,0
Legal Services,0,3,0,6,0,9,0,96,0,1,0,10,1,0,0,0,2,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,1,0,13,1,0,99,0,0,0,0,0,0,0,2,3,0,0,0
Logistics and Supply Chain,4,3,6,3,1,26,0,0,0,77,7,6,3,8,1,0,0,0,0,0,2
Machinery,8,17,29,4,0,51,0,0,1,3,218,16,5,130,0,2,2,0,4,1,14
Management Consulting,2,14,11,16,21,190,3,4,3,3,7,335,30,8,4,8,3,1,2,1,1
Marketing and Advertising,3,9,14,5,0,89,0,0,2,2,7,22,335,5,11,4,4,1,0,2,7
Mechanical or Industrial Engineering,8,11,53,0,2,50,0,0,0,2,80,10,2,340,0,4,0,1,2,0,12
Media Production,1,0,12,4,1,103,0,1,2,0,1,9,72,1,26,3,1,1,0,2,1
Medical Practice,0,0,22,0,0,47,4,0,0,0,11,21,2,23,1,219,1,1,0,0,4
Real Estate,0,10,3,11,0,30,1,0,3,2,1,10,6,0,0,0,158,0,0,0,1
Recreational Facilities and Services,0,0,26,1,0,17,0,0,1,0,6,8,7,9,1,4,0,59,0,1,16
Renewables & Environment,1,3,5,0,0,16,0,0,0,0,18,3,2,16,0,0,0,0,39,0,0
Telecommunications,0,2,13,0,0,56,0,0,0,0,5,9,4,5,2,0,0,0,1,38,2
Wholesale,5,8,51,0,1,23,0,0,0,1,17,6,6,20,0,3,0,5,0,0,86
