,precision,recall,f1-score,support
Automotive,0.7075098814229249,0.5646687697160884,0.6280701754385966,317.0
Construction,0.6143344709897611,0.46632124352331605,0.5301914580265096,386.0
Consumer Goods,0.4700460829493088,0.4031620553359684,0.4340425531914894,506.0
Financial Services,0.773224043715847,0.6868932038834952,0.7275064267352185,412.0
Human Resources,0.8,0.47668393782383417,0.5974025974025974,193.0
Information Technology and Services,0.5030475416497359,0.8225913621262458,0.6243066061522945,1505.0
Insurance,0.8354430379746836,0.528,0.6470588235294118,125.0
Legal Services,0.8936170212765957,0.65625,0.7567567567567568,128.0
"Leisure, Travel & Tourism",0.8017241379310345,0.7622950819672131,0.7815126050420167,122.0
Logistics and Supply Chain,0.7431192660550459,0.5510204081632653,0.6328125,147.0
Machinery,0.3814102564102564,0.47128712871287126,0.42161204605845876,505.0
Management Consulting,0.4043280182232346,0.5322338830584707,0.4595469255663431,667.0
Marketing and Advertising,0.568100358422939,0.60727969348659,0.5870370370370369,522.0
Mechanical or Industrial Engineering,0.49064449064449067,0.4090121317157712,0.44612476370510395,577.0
Media Production,0.40625,0.1078838174273859,0.17049180327868851,241.0
Medical Practice,0.7468879668049793,0.5056179775280899,0.6030150753768844,356.0
Real Estate,0.8698224852071006,0.6228813559322034,0.725925925925926,236.0
Recreational Facilities and Services,0.6966292134831461,0.3974358974358974,0.5061224489795918,156.0
Renewables & Environment,0.7735849056603774,0.39805825242718446,0.5256410256410255,103.0
Telecommunications,0.6382978723404256,0.21897810218978103,0.32608695652173914,137.0
Wholesale,0.5918367346938775,0.125,0.20640569395017794,232.0
accuracy,0.5494520005281922,0.5494520005281922,0.5494520005281922,0.5494520005281922
macro avg,0.6528503707550363,0.4911216334501749,0.5398890573483747,7573.0
weighted avg,0.5782789092651978,0.5494520005281922,0.538772143283931,7573.0
