,precision,recall,f1-score,support
Automotive,0.698744769874477,0.526813880126183,0.6007194244604318,317.0
Construction,0.6007326007326007,0.42487046632124353,0.49772382397572074,386.0
Consumer Goods,0.4216589861751152,0.3616600790513834,0.38936170212765964,506.0
Financial Services,0.7770700636942676,0.5922330097087378,0.6721763085399449,412.0
Human Resources,0.7435897435897436,0.45077720207253885,0.5612903225806452,193.0
Information Technology and Services,0.3981057134127712,0.86578073089701,0.5454164922561742,1505.0
Insurance,0.7450980392156863,0.304,0.4318181818181818,125.0
Legal Services,0.8765432098765432,0.5546875,0.6794258373205743,128.0
"Leisure, Travel & Tourism",0.8165137614678899,0.7295081967213115,0.7705627705627706,122.0
Logistics and Supply Chain,0.8,0.38095238095238093,0.5161290322580645,147.0
Machinery,0.4270833333333333,0.32475247524752476,0.3689538807649044,505.0
Management Consulting,0.587737843551797,0.41679160419790107,0.4877192982456141,667.0
Marketing and Advertising,0.5887265135699373,0.5402298850574713,0.5634365634365635,522.0
Mechanical or Industrial Engineering,0.4214162348877375,0.42287694974003465,0.4221453287197232,577.0
Media Production,0.2926829268292683,0.04979253112033195,0.0851063829787234,241.0
Medical Practice,0.7783018867924528,0.46348314606741575,0.5809859154929577,356.0
Real Estate,0.7853107344632768,0.5889830508474576,0.6731234866828087,236.0
Recreational Facilities and Services,0.684931506849315,0.32051282051282054,0.4366812227074236,156.0
Renewables & Environment,0.6545454545454545,0.34951456310679613,0.45569620253164556,103.0
Telecommunications,0.41818181818181815,0.1678832116788321,0.23958333333333334,137.0
Wholesale,0.5,0.1810344827586207,0.2658227848101266,232.0
accuracy,0.5066684273075399,0.5066684273075399,0.5066684273075399,0.5066684273075399
macro avg,0.6198559590973088,0.42938753172314265,0.48780372836209485,7573.0
weighted avg,0.5533847883289211,0.5066684273075399,0.4940685520506608,7573.0
