,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,179,2,13,1,3,48,0,0,0,2,23,22,4,15,0,1,1,0,0,0,3
Construction,1,180,18,2,1,76,0,0,4,0,35,28,13,19,3,1,4,0,1,0,0
Consumer Goods,13,13,204,4,2,104,1,0,1,0,38,35,15,43,1,10,2,5,5,2,8
Financial Services,6,0,5,283,0,54,6,4,0,2,3,30,3,4,1,2,3,2,1,2,1
Human Resources,1,1,2,3,92,41,1,0,0,0,6,37,7,1,0,1,0,0,0,0,0
Information Technology and Services,10,4,20,13,2,1238,0,3,3,4,20,113,33,14,14,5,1,0,0,6,2
Insurance,1,1,3,9,0,27,66,0,0,0,3,12,2,1,0,0,0,0,0,0,0
Legal Services,1,0,0,5,0,17,0,84,0,1,2,17,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,2,2,0,12,0,0,93,0,0,2,3,1,0,1,2,4,0,0,0
Logistics and Supply Chain,3,2,2,1,0,28,0,0,1,81,5,12,4,6,0,1,0,0,1,0,0
Machinery,13,16,22,3,0,81,0,0,1,4,238,32,7,73,1,7,3,2,1,0,1
Management Consulting,1,12,8,14,11,196,3,3,0,1,7,355,32,7,3,6,2,1,2,3,0
Marketing and Advertising,2,10,10,6,0,98,0,0,3,2,6,45,317,5,9,4,2,1,0,2,0
Mechanical or Industrial Engineering,11,22,44,2,0,81,0,0,0,5,117,36,9,236,1,8,0,3,0,0,2
Media Production,3,0,6,2,1,106,0,0,3,1,7,19,62,1,26,1,0,2,0,1,0
Medical Practice,3,3,16,2,0,60,1,0,0,3,25,30,8,17,3,180,1,3,0,0,1
Real Estate,0,10,2,11,0,31,1,0,3,1,9,11,6,2,0,1,147,0,0,1,0
Recreational Facilities and Services,0,2,14,0,1,35,0,0,3,0,10,10,7,6,0,5,0,62,0,0,1
Renewables & Environment,1,4,8,1,0,9,0,0,0,0,17,7,4,9,0,2,0,0,41,0,0
Telecommunications,0,1,9,2,1,71,0,0,0,0,5,7,5,3,0,1,0,0,1,30,1
Wholesale,4,10,26,0,1,48,0,0,1,2,48,18,17,18,2,4,0,4,0,0,29
