,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,167,2,19,2,0,84,1,0,1,1,13,8,1,15,1,0,0,0,1,0,1
Construction,1,164,17,1,0,125,1,0,3,1,23,7,8,20,0,2,10,0,0,2,1
Consumer Goods,14,12,183,2,1,161,2,0,1,0,22,6,8,61,3,4,2,9,5,3,7
Financial Services,7,0,5,244,0,114,5,2,1,0,1,17,2,3,1,3,5,0,1,1,0
Human Resources,2,5,0,1,87,62,1,1,1,0,1,20,7,5,0,0,0,0,0,0,0
Information Technology and Services,9,12,15,10,6,1303,0,1,4,2,10,55,30,18,5,8,4,1,0,9,3
Insurance,1,1,2,14,0,45,38,0,0,0,2,6,3,2,1,6,3,0,0,1,0
Legal Services,0,0,1,4,0,39,0,71,0,0,1,9,0,0,0,1,2,0,0,0,0
"Leisure, Travel & Tourism",1,1,0,1,0,23,0,0,89,0,1,0,1,1,0,0,2,2,0,0,0
Logistics and Supply Chain,4,1,9,0,0,54,0,0,0,56,7,8,0,6,1,0,0,0,0,0,1
Machinery,7,18,27,1,0,131,1,0,0,2,164,7,4,113,1,3,3,1,6,4,12
Management Consulting,5,8,8,11,18,265,2,5,0,2,8,278,26,12,3,7,3,0,2,2,2
Marketing and Advertising,3,4,13,2,0,180,0,0,2,2,4,12,282,2,4,5,1,1,0,5,0
Mechanical or Industrial Engineering,12,13,35,3,0,163,0,0,0,2,77,9,4,244,1,3,0,1,1,2,7
Media Production,1,0,14,4,3,117,0,0,2,1,2,10,71,2,12,1,0,0,0,1,0
Medical Practice,1,3,15,1,0,106,0,0,0,1,10,12,9,22,2,165,3,2,1,1,2
Real Estate,0,18,1,11,0,54,0,1,3,0,0,1,3,2,2,0,139,0,0,0,1
Recreational Facilities and Services,0,2,13,0,1,59,0,0,2,0,5,0,9,8,0,2,0,50,0,0,5
Renewables & Environment,0,3,5,0,0,28,0,0,0,0,16,1,0,14,0,0,0,0,36,0,0
Telecommunications,0,2,9,2,1,79,0,0,0,0,5,5,3,5,2,0,0,0,1,23,0
Wholesale,4,4,43,0,0,81,0,0,0,0,12,2,8,24,2,2,0,6,1,1,42
