,precision,recall,f1-score,support
Automotive,0.7804878048780488,0.7066246056782335,0.7417218543046358,317.0
Construction,0.7398119122257053,0.6113989637305699,0.6695035460992907,386.0
Consumer Goods,0.4976303317535545,0.6225296442687747,0.553116769095698,506.0
Financial Services,0.814621409921671,0.7572815533980582,0.7849056603773585,412.0
Human Resources,0.8,0.538860103626943,0.6439628482972136,193.0
Information Technology and Services,0.6548488008342023,0.8345514950166113,0.733859187846918,1505.0
Insurance,0.8484848484848485,0.672,0.75,125.0
Legal Services,0.8842975206611571,0.8359375,0.8594377510040161,128.0
"Leisure, Travel & Tourism",0.8706896551724138,0.8278688524590164,0.8487394957983194,122.0
Logistics and Supply Chain,0.825,0.673469387755102,0.7415730337078652,147.0
Machinery,0.4981684981684982,0.5386138613861386,0.5176022835394862,505.0
Management Consulting,0.5053635280095352,0.6356821589205397,0.5630810092961488,667.0
Marketing and Advertising,0.6278688524590164,0.7337164750957854,0.6766784452296819,522.0
Mechanical or Industrial Engineering,0.5476635514018692,0.5077989601386482,0.526978417266187,577.0
Media Production,0.43037974683544306,0.14107883817427386,0.2125,241.0
Medical Practice,0.8385964912280702,0.6713483146067416,0.7457098283931358,356.0
Real Estate,0.882051282051282,0.7288135593220338,0.7981438515081206,236.0
Recreational Facilities and Services,0.72,0.5769230769230769,0.6405693950177935,156.0
Renewables & Environment,0.7704918032786885,0.4563106796116505,0.573170731707317,103.0
Telecommunications,0.7222222222222222,0.3795620437956204,0.4976076555023922,137.0
Wholesale,0.75,0.3232758620689655,0.45180722891566266,232.0
accuracy,0.6495444341740394,0.6495444341740394,0.6495444341740394,0.6495444341740394
macro avg,0.7146989647422013,0.6082688540941327,0.6443175710908209,7573.0
weighted avg,0.6621625934798571,0.6495444341740394,0.643487623685983,7573.0
