,precision,recall,f1-score,support
Automotive,0.7709251101321586,0.5520504731861199,0.6433823529411764,317.0
Construction,0.6842105263157895,0.538860103626943,0.6028985507246377,386.0
Consumer Goods,0.4303599374021909,0.5434782608695652,0.48034934497816595,506.0
Financial Services,0.7887323943661971,0.6796116504854369,0.7301173402868318,412.0
Human Resources,0.8067226890756303,0.49740932642487046,0.6153846153846154,193.0
Information Technology and Services,0.5418781725888325,0.8511627906976744,0.6621866115275266,1505.0
Insurance,0.7684210526315789,0.584,0.6636363636363636,125.0
Legal Services,0.8928571428571429,0.78125,0.8333333333333334,128.0
"Leisure, Travel & Tourism",0.8362068965517241,0.7950819672131147,0.8151260504201681,122.0
Logistics and Supply Chain,0.7835051546391752,0.5170068027210885,0.6229508196721312,147.0
Machinery,0.5066371681415929,0.4534653465346535,0.47857889237199586,505.0
Management Consulting,0.5613747954173486,0.5142428785607196,0.5367762128325507,667.0
Marketing and Advertising,0.6328871892925431,0.6340996168582376,0.6334928229665072,522.0
Mechanical or Industrial Engineering,0.48787878787878786,0.5580589254766031,0.5206143896523848,577.0
Media Production,0.4666666666666667,0.11618257261410789,0.18604651162790697,241.0
Medical Practice,0.7836879432624113,0.6207865168539326,0.6927899686520377,356.0
Real Estate,0.7868020304568528,0.6567796610169492,0.7159353348729792,236.0
Recreational Facilities and Services,0.7183098591549296,0.3269230769230769,0.44933920704845814,156.0
Renewables & Environment,0.676923076923077,0.42718446601941745,0.5238095238095238,103.0
Telecommunications,0.6140350877192983,0.25547445255474455,0.36082474226804123,137.0
Wholesale,0.5089820359281437,0.36637931034482757,0.4260651629072682,232.0
accuracy,0.5948765350587614,0.5948765350587614,0.5948765350587614,0.5948765350587614
macro avg,0.6689525579715272,0.5366422951896231,0.5806494358054574,7573.0
weighted avg,0.6144534809744563,0.5948765350587614,0.5863049008367041,7573.0
