,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,224,2,17,0,1,20,0,0,0,1,19,13,3,12,1,0,0,1,0,1,2
Construction,1,236,23,0,1,28,0,0,3,1,33,19,13,14,1,2,6,0,3,1,1
Consumer Goods,11,10,315,0,0,49,0,1,0,0,26,19,9,35,0,9,1,10,2,2,7
Financial Services,8,0,6,312,0,39,7,3,0,0,2,28,1,0,0,1,0,1,2,1,1
Human Resources,0,0,3,4,104,30,0,0,0,0,2,40,5,1,1,2,0,0,0,0,1
Information Technology and Services,8,4,24,16,5,1256,0,3,3,4,6,102,22,8,28,3,2,1,0,7,3
Insurance,2,0,1,13,0,14,84,0,0,0,2,8,1,0,0,0,0,0,0,0,0
Legal Services,0,1,0,5,0,3,0,107,0,1,0,9,1,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,8,0,0,101,0,0,0,3,1,0,1,1,4,0,0,0
Logistics and Supply Chain,2,1,2,2,0,10,0,0,0,99,8,9,1,9,1,0,1,0,1,0,1
Machinery,10,12,27,2,0,31,0,0,0,2,272,24,4,104,0,7,4,1,2,0,3
Management Consulting,0,13,12,12,14,123,3,6,0,2,4,424,37,6,1,3,2,1,3,1,0
Marketing and Advertising,3,5,18,2,1,51,0,0,1,2,2,32,383,6,9,3,1,1,0,2,0
Mechanical or Industrial Engineering,12,19,55,2,0,41,0,0,0,3,106,34,2,293,1,4,0,2,1,0,2
Media Production,0,0,12,1,2,83,0,1,3,2,0,12,82,2,34,1,1,1,0,4,0
Medical Practice,1,0,20,3,0,34,3,0,0,1,8,25,6,11,0,239,0,5,0,0,0
Real Estate,0,6,3,7,0,16,2,0,3,1,6,13,5,0,2,0,172,0,0,0,0
Recreational Facilities and Services,0,0,17,0,1,12,0,0,2,0,3,7,10,7,0,3,0,90,0,0,4
Renewables & Environment,1,3,8,1,0,8,0,0,0,0,14,5,2,11,0,1,1,0,47,1,0
Telecommunications,0,1,18,0,1,47,0,0,0,0,1,7,6,2,0,1,1,0,0,52,0
Wholesale,4,5,51,0,0,15,0,0,0,1,32,9,14,13,0,5,1,7,0,0,75
