,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,175,3,27,1,0,39,1,0,0,1,16,8,9,31,0,0,0,1,1,0,4
Construction,0,208,27,0,1,53,1,0,6,1,28,19,3,15,1,4,12,0,4,0,3
Consumer Goods,10,12,275,3,0,70,2,0,1,0,26,12,5,62,0,4,0,4,3,5,12
Financial Services,7,2,5,280,0,66,10,3,0,0,2,20,2,2,1,4,5,0,2,1,0
Human Resources,1,0,2,1,96,42,0,1,2,0,2,35,6,3,0,2,0,0,0,0,0
Information Technology and Services,5,2,27,17,2,1281,1,3,1,5,7,56,28,22,17,12,5,2,1,8,3
Insurance,0,0,2,10,0,24,73,0,0,1,0,6,0,2,1,2,3,0,0,1,0
Legal Services,0,2,0,5,0,11,0,100,0,1,1,6,1,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,13,1,0,97,0,0,1,0,1,0,0,2,4,0,0,0
Logistics and Supply Chain,3,2,5,2,2,28,0,0,0,76,7,9,3,6,0,1,0,0,0,0,3
Machinery,8,17,32,4,0,52,0,0,0,1,229,10,3,125,1,2,3,0,4,1,13
Management Consulting,2,12,10,13,16,197,2,4,2,2,7,343,28,9,1,8,4,1,2,2,2
Marketing and Advertising,6,6,14,2,1,99,0,0,1,2,2,23,331,3,9,6,5,1,1,0,10
Mechanical or Industrial Engineering,6,10,61,1,1,72,0,0,0,3,73,10,2,322,0,6,0,0,2,0,8
Media Production,0,1,16,2,0,94,0,1,2,0,0,11,76,1,28,3,1,1,0,3,1
Medical Practice,0,3,19,0,0,58,3,0,0,0,9,20,0,15,0,221,1,1,0,0,6
Real Estate,1,10,2,12,0,36,1,0,3,2,0,9,4,0,0,0,155,0,0,0,1
Recreational Facilities and Services,0,0,33,1,0,26,0,0,1,0,4,8,9,5,0,3,0,51,0,1,14
Renewables & Environment,0,5,7,0,0,15,0,0,0,1,18,1,2,10,0,0,0,0,44,0,0
Telecommunications,0,2,15,0,0,69,0,0,0,0,5,2,3,2,1,0,0,0,1,35,2
Wholesale,3,6,59,0,0,19,0,0,0,1,16,2,8,24,0,4,0,5,0,0,85
