,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,237,2,6,4,1,14,0,0,0,1,16,8,3,19,0,0,0,1,0,2,3
Construction,1,281,15,0,1,16,0,0,2,1,21,10,6,14,0,3,7,1,4,0,3
Consumer Goods,8,15,318,3,0,41,0,1,1,1,20,10,4,41,5,5,1,12,4,1,15
Financial Services,6,2,3,326,1,37,11,3,0,0,0,12,1,0,2,3,2,1,1,1,0
Human Resources,0,0,1,3,131,14,0,1,1,0,3,27,6,1,0,4,0,0,0,0,1
Information Technology and Services,4,2,16,13,5,1298,2,3,4,6,8,47,22,9,34,10,5,2,1,11,3
Insurance,0,0,0,13,0,9,94,0,0,0,0,3,1,1,0,1,3,0,0,0,0
Legal Services,0,0,1,6,0,1,0,119,0,0,0,0,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,2,3,1,0,5,0,0,101,0,0,1,4,0,0,0,1,4,0,0,0
Logistics and Supply Chain,3,1,5,1,0,9,1,0,0,104,3,4,0,8,2,1,0,0,1,0,4
Machinery,9,22,14,1,0,24,0,0,1,1,274,8,0,122,0,4,4,2,6,1,12
Management Consulting,2,18,6,11,20,136,3,6,1,1,4,403,27,2,5,12,3,1,2,3,1
Marketing and Advertising,4,9,12,3,0,41,0,0,1,2,1,19,400,3,16,3,1,2,0,1,4
Mechanical or Industrial Engineering,12,21,37,1,2,32,0,0,0,3,75,5,0,373,2,5,0,2,0,0,7
Media Production,0,0,10,3,3,73,0,1,3,1,0,6,51,2,80,2,0,2,0,3,1
Medical Practice,0,1,8,1,0,27,2,0,0,1,5,12,3,8,0,283,0,4,1,0,0
Real Estate,1,14,3,7,0,9,1,0,3,1,1,3,4,2,1,1,184,1,0,0,0
Recreational Facilities and Services,0,2,6,0,1,7,0,0,3,0,2,1,5,3,0,5,0,116,1,1,3
Renewables & Environment,1,2,5,1,0,4,0,0,0,0,14,2,0,13,1,0,0,0,60,0,0
Telecommunications,0,4,14,0,1,39,0,0,0,0,2,2,8,1,2,0,0,1,1,60,2
Wholesale,6,6,36,2,0,6,0,0,0,1,18,4,8,12,0,6,0,8,0,1,118
