,precision,recall,f1-score,support
Automotive,0.5915492957746479,0.39747634069400634,0.47547169811320755,317.0
Construction,0.6459143968871596,0.43005181347150256,0.5163297045101088,386.0
Consumer Goods,0.5196078431372549,0.4189723320158103,0.4638949671772429,506.0
Financial Services,0.7373134328358208,0.5995145631067961,0.6613119143239625,412.0
Human Resources,0.6940298507462687,0.48186528497409326,0.5688073394495412,193.0
Information Technology and Services,0.39510939510939513,0.8159468438538205,0.5324084110123564,1505.0
Insurance,0.7297297297297297,0.432,0.5427135678391959,125.0
Legal Services,0.8085106382978723,0.59375,0.6846846846846846,128.0
"Leisure, Travel & Tourism",0.8712871287128713,0.7213114754098361,0.789237668161435,122.0
Logistics and Supply Chain,0.6979166666666666,0.4557823129251701,0.551440329218107,147.0
Machinery,0.41711229946524064,0.3089108910891089,0.35494880546075086,505.0
Management Consulting,0.5411764705882353,0.41379310344827586,0.4689889549702633,667.0
Marketing and Advertising,0.6814159292035398,0.5900383141762452,0.6324435318275153,522.0
Mechanical or Industrial Engineering,0.45794392523364486,0.4246100519930676,0.4406474820143885,577.0
Media Production,0.46496815286624205,0.3029045643153527,0.3668341708542714,241.0
Medical Practice,0.712,0.5,0.5874587458745875,356.0
Real Estate,0.8116883116883117,0.5296610169491526,0.6410256410256411,236.0
Recreational Facilities and Services,0.5666666666666667,0.3269230769230769,0.41463414634146345,156.0
Renewables & Environment,0.5961538461538461,0.30097087378640774,0.39999999999999997,103.0
Telecommunications,0.6379310344827587,0.27007299270072993,0.37948717948717947,137.0
Wholesale,0.5041322314049587,0.2629310344827586,0.34560906515580736,232.0
accuracy,0.5147233593027862,0.5147233593027862,0.5147233593027862,0.5147233593027862
macro avg,0.62295986884053,0.4560708041102482,0.5151608575000814,7573.0
weighted avg,0.5596868565098773,0.5147233593027862,0.510290963282339,7573.0
