,precision,recall,f1-score,support
Automotive,0.7192982456140351,0.38801261829652994,0.5040983606557377,317.0
Construction,0.6142131979695431,0.3134715025906736,0.41509433962264153,386.0
Consumer Goods,0.56,0.30434782608695654,0.3943661971830986,506.0
Financial Services,0.7847222222222222,0.5485436893203883,0.6457142857142857,412.0
Human Resources,0.7757009345794392,0.43005181347150256,0.5533333333333332,193.0
Information Technology and Services,0.32941176470588235,0.8558139534883721,0.47571560480147734,1505.0
Insurance,0.75,0.36,0.48648648648648657,125.0
Legal Services,0.8658536585365854,0.5546875,0.6761904761904762,128.0
"Leisure, Travel & Tourism",0.8315789473684211,0.6475409836065574,0.7281105990783411,122.0
Logistics and Supply Chain,0.7160493827160493,0.3945578231292517,0.5087719298245613,147.0
Machinery,0.44244604316546765,0.24356435643564356,0.31417624521072796,505.0
Management Consulting,0.5515695067264574,0.36881559220389803,0.4420485175202156,667.0
Marketing and Advertising,0.6774193548387096,0.5632183908045977,0.6150627615062761,522.0
Mechanical or Industrial Engineering,0.42171189979123175,0.35008665511265163,0.38257575757575757,577.0
Media Production,0.4392523364485981,0.1950207468879668,0.27011494252873564,241.0
Medical Practice,0.7307692307692307,0.37359550561797755,0.49442379182156143,356.0
Real Estate,0.8043478260869565,0.4703389830508475,0.5935828877005348,236.0
Recreational Facilities and Services,0.4791666666666667,0.14743589743589744,0.22549019607843138,156.0
Renewables & Environment,0.5918367346938775,0.2815533980582524,0.3815789473684211,103.0
Telecommunications,0.6666666666666666,0.1897810218978102,0.2954545454545454,137.0
Wholesale,0.4953271028037383,0.22844827586206898,0.31268436578171094,232.0
accuracy,0.46678991152779614,0.46678991152779614,0.46678991152779614,0.46678991152779614
macro avg,0.6308257963033228,0.3908993587313259,0.4626225986398741,7573.0
weighted avg,0.5565306315146875,0.46678991152779614,0.4599694008902136,7573.0
